,Date,time,Carbon monoxide,status,unit,PM<sub>10</sub> particulate matter (Hourly measured),status.1,unit.1,Nitric oxide,status.2,unit.2,Nitrogen dioxide,status.3,unit.3,Nitrogen oxides as nitrogen dioxide,status.4,unit.4,Non-volatile PM<sub>10</sub> (Hourly measured),status.5,unit.5,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.6,unit.6,Ozone,status.7,unit.7,PM<sub>2.5</sub> particulate matter (Hourly measured),status.8,unit.8,Sulphur dioxide,status.9,unit.9,Volatile PM<sub>10</sub> (Hourly measured),status.10,unit.10,Volatile PM<sub>2.5</sub> (Hourly measured),status.11,unit.11
0,01-01-2011,01:00,0.2,R,mgm-3,32.0,R,ugm-3 (TEOM FDMS),18.0,R,ugm-3,53.0,R,ugm-3,80.0,R,ugm-3,24.0,R,ugm-3 (TEOM FDMS),20.0,R,ugm-3 (TEOM FDMS),16.0,R,ugm-3,29.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3 (TEOM FDMS)
1,01-01-2011,02:00,0.2,R,mgm-3,28.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3,44.0,R,ugm-3,55.0,R,ugm-3,22.0,R,ugm-3 (TEOM FDMS),22.0,R,ugm-3 (TEOM FDMS),30.0,R,ugm-3,30.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
2,01-01-2011,03:00,0.3,R,mgm-3,31.0,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3,44.0,R,ugm-3,53.0,R,ugm-3,25.0,R,ugm-3 (TEOM FDMS),25.0,R,ugm-3 (TEOM FDMS),14.0,R,ugm-3,33.0,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
3,01-01-2011,04:00,0.6,R,mgm-3,36.0,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3,48.0,R,ugm-3,61.0,R,ugm-3,26.0,R,ugm-3 (TEOM FDMS),21.0,R,ugm-3 (TEOM FDMS),10.0,R,ugm-3,31.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3,10.0,R,ugm-3 (TEOM FDMS),10.0,R,ugm-3 (TEOM FDMS)
4,01-01-2011,05:00,0.2,R,mgm-3,29.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,44.0,R,ugm-3,52.0,R,ugm-3,22.0,R,ugm-3 (TEOM FDMS),18.0,R,ugm-3 (TEOM FDMS),16.0,R,ugm-3,27.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3 (TEOM FDMS)
5,01-01-2011,06:00,0.2,R,mgm-3,29.0,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3,48.0,R,ugm-3,57.0,R,ugm-3,21.0,R,ugm-3 (TEOM FDMS),17.0,R,ugm-3 (TEOM FDMS),20.0,R,ugm-3,25.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
6,01-01-2011,07:00,0.3,R,mgm-3,28.0,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3,50.0,R,ugm-3,63.0,R,ugm-3,22.0,R,ugm-3 (TEOM FDMS),20.0,R,ugm-3 (TEOM FDMS),18.0,R,ugm-3,26.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS)
7,01-01-2011,08:00,0.3,R,mgm-3,27.0,R,ugm-3 (TEOM FDMS),10.0,R,ugm-3,55.0,R,ugm-3,71.0,R,ugm-3,21.0,R,ugm-3 (TEOM FDMS),18.0,R,ugm-3 (TEOM FDMS),18.0,R,ugm-3,23.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS)
8,01-01-2011,09:00,0.3,R,mgm-3,27.0,R,ugm-3 (TEOM FDMS),14.0,R,ugm-3,57.0,R,ugm-3,78.0,R,ugm-3,20.0,R,ugm-3 (TEOM FDMS),17.0,R,ugm-3 (TEOM FDMS),12.0,R,ugm-3,25.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
9,01-01-2011,10:00,0.2,R,mgm-3,26.0,R,ugm-3 (TEOM FDMS),44.0,R,ugm-3,63.0,R,ugm-3,130.0,R,ugm-3,19.0,R,ugm-3 (TEOM FDMS),19.0,R,ugm-3 (TEOM FDMS),4.0,R,ugm-3,25.0,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS)
