,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,01-01-2016,01:00,22.7,R,ugm-3 (TEOM FDMS),2.45302,R,ugm-3,45.52324,R,ugm-3,49.28449,R,ugm-3,21.0,R,ugm-3 (TEOM FDMS),15.2,R,ugm-3 (TEOM FDMS),24.33157,R,ugm-3,14.3,R,ugm-3 (TEOM FDMS),1.34021,R,ugm-3,1.7,R,ugm-3 (TEOM FDMS),-0.9,R,ugm-3 (TEOM FDMS)
1,01-01-2016,02:00,23.0,R,ugm-3 (TEOM FDMS),4.00425,R,ugm-3,51.47685,R,ugm-3,57.61661,R,ugm-3,21.2,R,ugm-3 (TEOM FDMS),10.8,R,ugm-3 (TEOM FDMS),12.56958,R,ugm-3,8.6,R,ugm-3 (TEOM FDMS),1.60807,R,ugm-3,1.8,R,ugm-3 (TEOM FDMS),-2.2,R,ugm-3 (TEOM FDMS)
2,01-01-2016,03:00,23.3,R,ugm-3 (TEOM FDMS),9.57396,R,ugm-3,59.89568,R,ugm-3,74.57555,R,ugm-3,21.7,R,ugm-3 (TEOM FDMS),11.9,R,ugm-3 (TEOM FDMS),6.1747,R,ugm-3,11.8,R,ugm-3 (TEOM FDMS),1.67437,R,ugm-3,1.6,R,ugm-3 (TEOM FDMS),-0.1,R,ugm-3 (TEOM FDMS)
3,01-01-2016,04:00,23.9,R,ugm-3 (TEOM FDMS),8.78505,R,ugm-3,58.27531,R,ugm-3,71.74553,R,ugm-3,23.2,R,ugm-3 (TEOM FDMS),11.8,R,ugm-3 (TEOM FDMS),7.49834,R,ugm-3,11.3,R,ugm-3 (TEOM FDMS),1.4748,R,ugm-3,0.7,R,ugm-3 (TEOM FDMS),-0.5,R,ugm-3 (TEOM FDMS)
4,01-01-2016,05:00,20.5,R,ugm-3 (TEOM FDMS),5.96927,R,ugm-3,57.05131,R,ugm-3,66.20406,R,ugm-3,18.5,R,ugm-3 (TEOM FDMS),8.9,R,ugm-3 (TEOM FDMS),9.26155,R,ugm-3,9.3,R,ugm-3 (TEOM FDMS),0.66988,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),0.4,R,ugm-3 (TEOM FDMS)
5,01-01-2016,06:00,21.0,R,ugm-3 (TEOM FDMS),18.69672,R,ugm-3,69.54758,R,ugm-3,98.21548,R,ugm-3,18.6,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),2.6463,R,ugm-3,7.4,R,ugm-3 (TEOM FDMS),1.47347,R,ugm-3,2.4,R,ugm-3 (TEOM FDMS),0.6,R,ugm-3 (TEOM FDMS)
6,01-01-2016,07:00,19.8,R,ugm-3 (TEOM FDMS),19.97364,R,ugm-3,70.12468,R,ugm-3,100.7505,R,ugm-3,16.1,R,ugm-3 (TEOM FDMS),5.7,R,ugm-3 (TEOM FDMS),0.99236,R,ugm-3,6.6,R,ugm-3 (TEOM FDMS),2.27773,R,ugm-3,3.7,R,ugm-3 (TEOM FDMS),0.9,R,ugm-3 (TEOM FDMS)
7,01-01-2016,08:00,20.4,R,ugm-3 (TEOM FDMS),48.61882,R,ugm-3,73.18803,R,ugm-3,147.73584,R,ugm-3,18.2,R,ugm-3 (TEOM FDMS),7.2,R,ugm-3 (TEOM FDMS),1.32315,R,ugm-3,7.1,R,ugm-3 (TEOM FDMS),2.94828,R,ugm-3,2.2,R,ugm-3 (TEOM FDMS),-0.1,R,ugm-3 (TEOM FDMS)
8,01-01-2016,09:00,21.2,R,ugm-3 (TEOM FDMS),63.37375,R,ugm-3,75.32381,R,ugm-3,172.49555,R,ugm-3,18.2,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS),1.15801,R,ugm-3,11.1,R,ugm-3 (TEOM FDMS),3.81773,R,ugm-3,3.0,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
9,01-01-2016,10:00,12.7,R,ugm-3 (TEOM FDMS),30.56072,R,ugm-3,64.62051,R,ugm-3,111.47963,R,ugm-3,7.5,R,ugm-3 (TEOM FDMS),-0.4,R,ugm-3 (TEOM FDMS),9.42769,R,ugm-3,2.1,R,ugm-3 (TEOM FDMS),2.54515,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),2.5,R,ugm-3 (TEOM FDMS)
