,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,01-01-2018,01:00,11.4,R,ugm-3 (TEOM FDMS),2.53827,R,ugm-3,14.63439,R,ugm-3,18.52634,R,ugm-3,11.4,R,ugm-3 (TEOM FDMS),11.6,R,ugm-3 (TEOM FDMS),59.81291,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),,,,0.0,R,ugm-3 (TEOM FDMS),1.9,R,ugm-3 (TEOM FDMS)
1,01-01-2018,02:00,8.9,R,ugm-3 (TEOM FDMS),1.8902,R,ugm-3,17.29712,R,ugm-3,20.19538,R,ugm-3,10.3,R,ugm-3 (TEOM FDMS),10.3,R,ugm-3 (TEOM FDMS),53.63033,R,ugm-3,7.2,R,ugm-3 (TEOM FDMS),,,,-1.4,R,ugm-3 (TEOM FDMS),1.4,R,ugm-3 (TEOM FDMS)
2,01-01-2018,03:00,6.9,R,ugm-3 (TEOM FDMS),1.78219,R,ugm-3,17.54618,R,ugm-3,20.27883,R,ugm-3,6.4,R,ugm-3 (TEOM FDMS),5.6,R,ugm-3 (TEOM FDMS),54.45707,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),,,,0.5,R,ugm-3 (TEOM FDMS),4.9,R,ugm-3 (TEOM FDMS)
3,01-01-2018,04:00,5.6,R,ugm-3 (TEOM FDMS),0.89109,R,ugm-3,17.2852,R,ugm-3,18.65152,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS),57.53039,R,ugm-3,1.5,R,ugm-3 (TEOM FDMS),,,,1.6,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS)
4,01-01-2018,05:00,1.4,R,ugm-3 (TEOM FDMS),0.9316,R,ugm-3,12.90445,R,ugm-3,14.33288,R,ugm-3,0.7,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS),60.8733,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),,,,0.7,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS)
5,01-01-2018,06:00,5.6,R,ugm-3 (TEOM FDMS),0.52656,R,ugm-3,10.08311,R,ugm-3,10.89049,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS),62.27516,R,ugm-3,4.4,R,ugm-3 (TEOM FDMS),,,,0.8,R,ugm-3 (TEOM FDMS),5.6,R,ugm-3 (TEOM FDMS)
6,01-01-2018,07:00,9.7,R,ugm-3 (TEOM FDMS),0.48605,R,ugm-3,11.08405,R,ugm-3,11.82932,R,ugm-3,9.3,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS),60.8733,R,ugm-3,3.1,R,ugm-3 (TEOM FDMS),,,,0.4,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS)
7,01-01-2018,08:00,9.6,R,ugm-3 (TEOM FDMS),0.85059,R,ugm-3,18.91203,R,ugm-3,20.21624,R,ugm-3,10.0,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),53.6483,R,ugm-3,7.6,R,ugm-3 (TEOM FDMS),,,,-0.4,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS)
8,01-01-2018,09:00,15.1,R,ugm-3 (TEOM FDMS),1.17462,R,ugm-3,25.55033,R,ugm-3,27.35139,R,ugm-3,14.3,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),45.88413,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),,,,0.8,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
9,01-01-2018,10:00,19.3,R,ugm-3 (TEOM FDMS),3.11883,R,ugm-3,32.77126,R,ugm-3,37.5534,R,ugm-3,18.0,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS),41.46286,R,ugm-3,7.4,R,ugm-3 (TEOM FDMS),,,,1.3,R,ugm-3 (TEOM FDMS),3.2,R,ugm-3 (TEOM FDMS)
10,01-01-2018,11:00,19.9,R,ugm-3 (TEOM FDMS),5.02253,R,ugm-3,42.8708,R,ugm-3,50.57191,R,ugm-3,19.0,R,ugm-3 (TEOM FDMS),10.2,R,ugm-3 (TEOM FDMS),32.29682,R,ugm-3,7.5,R,ugm-3 (TEOM FDMS),,,,0.9,R,ugm-3 (TEOM FDMS),1.8,R,ugm-3 (TEOM FDMS)
11,01-01-2018,12:00,10.8,R,ugm-3 (TEOM FDMS),2.99732,R,ugm-3,33.33311,R,ugm-3,37.92893,R,ugm-3,14.0,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS),39.52181,R,ugm-3,8.9,R,ugm-3 (TEOM FDMS),,,,-3.2,R,ugm-3 (TEOM FDMS),3.9,R,ugm-3 (TEOM FDMS)
12,01-01-2018,13:00,9.6,R,ugm-3 (TEOM FDMS),6.56169,R,ugm-3,35.12813,R,ugm-3,45.18925,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),8.6,R,ugm-3 (TEOM FDMS),38.2817,R,ugm-3,7.6,R,ugm-3 (TEOM FDMS),,,,0.1,R,ugm-3 (TEOM FDMS),3.5,R,ugm-3 (TEOM FDMS)
13,01-01-2018,14:00,9.8,R,ugm-3 (TEOM FDMS),33.33501,R,ugm-3,67.30541,R,ugm-3,118.41837,R,ugm-3,10.5,R,ugm-3 (TEOM FDMS),8.6,R,ugm-3 (TEOM FDMS),25.07182,R,ugm-3,6.4,R,ugm-3 (TEOM FDMS),,,,-0.7,R,ugm-3 (TEOM FDMS),2.3,R,ugm-3 (TEOM FDMS)
14,01-01-2018,15:00,5.9,R,ugm-3 (TEOM FDMS),42.16494,R,ugm-3,78.48903,R,ugm-3,143.14103,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS),23.61604,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),,,,0.3,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS)
