,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,01-01-2017,01:00,29.44,R,ugm-3 (TEOM FDMS),1.08973,R,ugm-3,10.75845,R,ugm-3,12.42934,R,ugm-3,20.5,R,ugm-3 (TEOM FDMS),19.5,R,ugm-3 (TEOM FDMS),33.33617,R,ugm-3,28.32,R,ugm-3 (TEOM FDMS),0.973,R,ugm-3,11.1,R,ugm-3 (TEOM FDMS),11.3,R,ugm-3 (TEOM FDMS)
1,01-01-2017,02:00,32.44,R,ugm-3 (TEOM FDMS),2.26572,R,ugm-3,17.25505,R,ugm-3,20.72911,R,ugm-3,23.3,R,ugm-3 (TEOM FDMS),16.7,R,ugm-3 (TEOM FDMS),27.0903,R,ugm-3,20.42,R,ugm-3 (TEOM FDMS),1.41649,R,ugm-3,11.3,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS)
2,01-01-2017,03:00,23.04,R,ugm-3 (TEOM FDMS),1.8195,R,ugm-3,14.17449,R,ugm-3,16.96435,R,ugm-3,15.5,R,ugm-3 (TEOM FDMS),10.2,R,ugm-3 (TEOM FDMS),32.47653,R,ugm-3,15.92,R,ugm-3 (TEOM FDMS),1.39431,R,ugm-3,9.7,R,ugm-3 (TEOM FDMS),8.2,R,ugm-3 (TEOM FDMS)
3,01-01-2017,04:00,21.84,R,ugm-3 (TEOM FDMS),1.59686,R,ugm-3,14.8061,R,ugm-3,17.25458,R,ugm-3,14.7,R,ugm-3 (TEOM FDMS),11.5,R,ugm-3 (TEOM FDMS),32.16021,R,ugm-3,17.02,R,ugm-3 (TEOM FDMS),1.6604,R,ugm-3,9.3,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
4,01-01-2017,05:00,24.54,R,ugm-3 (TEOM FDMS),1.8195,R,ugm-3,16.7229,R,ugm-3,19.51276,R,ugm-3,17.2,R,ugm-3 (TEOM FDMS),14.4,R,ugm-3 (TEOM FDMS),28.31848,R,ugm-3,19.62,R,ugm-3 (TEOM FDMS),1.8593,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),7.7,R,ugm-3 (TEOM FDMS)
5,01-01-2017,06:00,25.14,R,ugm-3 (TEOM FDMS),2.07956,R,ugm-3,16.20796,R,ugm-3,19.39658,R,ugm-3,17.9,R,ugm-3 (TEOM FDMS),14.9,R,ugm-3 (TEOM FDMS),26.94993,R,ugm-3,20.32,R,ugm-3 (TEOM FDMS),1.92516,R,ugm-3,9.4,R,ugm-3 (TEOM FDMS),7.9,R,ugm-3 (TEOM FDMS)
6,01-01-2017,07:00,23.14,R,ugm-3 (TEOM FDMS),2.56227,R,ugm-3,19.46256,R,ugm-3,23.39131,R,ugm-3,18.5,R,ugm-3 (TEOM FDMS),13.1,R,ugm-3 (TEOM FDMS),21.31757,R,ugm-3,17.12,R,ugm-3 (TEOM FDMS),2.45601,R,ugm-3,6.8,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS)
7,01-01-2017,08:00,21.84,R,ugm-3 (TEOM FDMS),2.37673,R,ugm-3,20.96339,R,ugm-3,24.60766,R,ugm-3,16.1,R,ugm-3 (TEOM FDMS),9.9,R,ugm-3 (TEOM FDMS),19.10733,R,ugm-3,13.12,R,ugm-3 (TEOM FDMS),2.65558,R,ugm-3,7.9,R,ugm-3 (TEOM FDMS),5.7,R,ugm-3 (TEOM FDMS)
8,01-01-2017,09:00,21.24,R,ugm-3 (TEOM FDMS),4.30817,R,ugm-3,28.01908,R,ugm-3,34.62486,R,ugm-3,16.4,R,ugm-3 (TEOM FDMS),11.0,R,ugm-3 (TEOM FDMS),15.63332,R,ugm-3,15.62,R,ugm-3 (TEOM FDMS),2.85515,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),7.1,R,ugm-3 (TEOM FDMS)
9,01-01-2017,10:00,20.34,R,ugm-3 (TEOM FDMS),5.27358,R,ugm-3,26.36525,R,ugm-3,34.4513,R,ugm-3,15.0,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS),17.79167,R,ugm-3,12.02,R,ugm-3 (TEOM FDMS),3.18709,R,ugm-3,7.5,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS)
10,01-01-2017,11:00,17.64,R,ugm-3 (TEOM FDMS),5.90534,R,ugm-3,25.28086,R,ugm-3,34.33559,R,ugm-3,12.9,R,ugm-3 (TEOM FDMS),7.2,R,ugm-3 (TEOM FDMS),20.37061,R,ugm-3,8.42,R,ugm-3 (TEOM FDMS),2.7221,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),3.7,R,ugm-3 (TEOM FDMS)
11,01-01-2017,12:00,12.14,R,ugm-3 (TEOM FDMS),4.34497,R,ugm-3,22.75158,R,ugm-3,29.41377,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS),28.58142,R,ugm-3,8.02,R,ugm-3 (TEOM FDMS),2.92167,R,ugm-3,7.4,R,ugm-3 (TEOM FDMS),5.8,R,ugm-3 (TEOM FDMS)
12,01-01-2017,13:00,10.44,R,ugm-3 (TEOM FDMS),2.93396,R,ugm-3,17.79342,R,ugm-3,22.2921,R,ugm-3,6.5,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS),34.73965,R,ugm-3,6.42,R,ugm-3 (TEOM FDMS),3.25362,R,ugm-3,6.1,R,ugm-3 (TEOM FDMS),5.1,R,ugm-3 (TEOM FDMS)
