,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Ozone,status.4,unit.4,PM<sub>2.5</sub> particulate matter (Hourly measured),status.5,unit.5,Sulphur dioxide,status.6,unit.6
0,01-01-2021,01:00,18.358,R,ugm-3 (Ref.eq),5.58391,R,ugm-3,28.35369,R,ugm-3,36.91556,R,ugm-3,29.53636,R,ugm-3,20.0,R,ugm-3 (BAM),0.52672,R,ugm-3
1,01-01-2021,02:00,22.223,R,ugm-3 (Ref.eq),3.56139,R,ugm-3,25.03474,R,ugm-3,30.49547,R,ugm-3,34.92475,R,ugm-3,19.0,R,ugm-3 (BAM),0.52672,R,ugm-3
2,01-01-2021,03:00,22.223,R,ugm-3 (Ref.eq),2.63807,R,ugm-3,22.63855,R,ugm-3,26.68353,R,ugm-3,38.86626,R,ugm-3,14.0,R,ugm-3 (BAM),0.19752,R,ugm-3
3,01-01-2021,04:00,17.392,R,ugm-3 (Ref.eq),20.93965,R,ugm-3,52.45771,R,ugm-3,84.56473,R,ugm-3,22.55141,R,ugm-3,17.0,R,ugm-3 (BAM),1.64599,R,ugm-3
4,01-01-2021,05:00,24.155,R,ugm-3 (Ref.eq),61.89563,R,ugm-3,75.17713,R,ugm-3,170.08244,R,ugm-3,10.07829,R,ugm-3,20.0,R,ugm-3 (BAM),3.35782,R,ugm-3
5,01-01-2021,06:00,24.155,R,ugm-3 (Ref.eq),46.03426,R,ugm-3,54.70735,R,ugm-3,125.29222,R,ugm-3,14.16947,R,ugm-3,21.0,R,ugm-3 (BAM),2.43607,R,ugm-3
6,01-01-2021,07:00,19.324,R,ugm-3 (Ref.eq),51.64015,R,ugm-3,66.27489,R,ugm-3,145.45534,R,ugm-3,12.12388,R,ugm-3,17.0,R,ugm-3 (BAM),2.69943,R,ugm-3
7,01-01-2021,08:00,21.256,R,ugm-3 (Ref.eq),60.60957,R,ugm-3,72.88571,R,ugm-3,165.81909,R,ugm-3,9.13033,R,ugm-3,17.0,R,ugm-3 (BAM),3.22614,R,ugm-3
8,01-01-2021,09:00,15.459,R,ugm-3 (Ref.eq),59.52137,R,ugm-3,73.04956,R,ugm-3,164.31438,R,ugm-3,11.42538,R,ugm-3,17.0,R,ugm-3 (BAM),2.69943,R,ugm-3
9,01-01-2021,10:00,24.155,R,ugm-3 (Ref.eq),33.07476,R,ugm-3,55.11739,R,ugm-3,105.8313,R,ugm-3,13.92001,R,ugm-3,17.0,R,ugm-3 (BAM),1.84351,R,ugm-3
10,01-01-2021,11:00,24.155,R,ugm-3 (Ref.eq),47.51817,R,ugm-3,64.21895,R,ugm-3,137.07912,R,ugm-3,11.82452,R,ugm-3,21.0,R,ugm-3 (BAM),2.30439,R,ugm-3
11,01-01-2021,12:00,28.986,R,ugm-3 (Ref.eq),51.04658,R,ugm-3,65.27905,R,ugm-3,143.54938,R,ugm-3,11.47528,R,ugm-3,31.0,R,ugm-3 (BAM),2.23855,R,ugm-3
12,01-01-2021,13:00,32.851,R,ugm-3 (Ref.eq),66.61117,R,ugm-3,68.24768,R,ugm-3,170.38338,R,ugm-3,5.63785,R,ugm-3,30.0,R,ugm-3 (BAM),2.76527,R,ugm-3
13,01-01-2021,14:00,30.918,R,ugm-3 (Ref.eq),45.53962,R,ugm-3,56.51908,R,ugm-3,126.34552,R,ugm-3,5.13893,R,ugm-3,28.0,R,ugm-3 (BAM),2.63359,R,ugm-3
14,01-01-2021,15:00,33.817,R,ugm-3 (Ref.eq),73.04146,R,ugm-3,69.72353,R,ugm-3,181.71887,R,ugm-3,2.84387,R,ugm-3,31.0,R,ugm-3 (BAM),3.68702,R,ugm-3
15,01-01-2021,16:00,26.087,R,ugm-3 (Ref.eq),75.77845,R,ugm-3,76.56141,R,ugm-3,192.75341,R,ugm-3,2.09549,R,ugm-3,26.0,R,ugm-3 (BAM),3.55534,R,ugm-3
16,01-01-2021,17:00,22.223,R,ugm-3 (Ref.eq),48.60637,R,ugm-3,64.85762,R,ugm-3,139.38635,R,ugm-3,1.69635,R,ugm-3,23.0,R,ugm-3 (BAM),2.50191,R,ugm-3
