,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Ozone,status.4,unit.4,PM<sub>2.5</sub> particulate matter (Hourly measured),status.5,unit.5,Sulphur dioxide,status.6,unit.6
0,01-01-2023,01:00,10.225,P,ugm-3 (FIDAS),0.87311,P,ugm-3,5.29316,P,ugm-3,6.63191,P,ugm-3,67.72075,P,ugm-3,5.66,P,ugm-3 (Ref.eq),6.3223,P,ugm-3
1,01-01-2023,02:00,10.625,P,ugm-3 (FIDAS),0.99784,P,ugm-3,4.58681,P,ugm-3,6.11681,P,ugm-3,70.44821,P,ugm-3,5.307,P,ugm-3 (Ref.eq),5.4442,P,ugm-3
2,01-01-2023,03:00,12.4,P,ugm-3 (FIDAS),0.90429,P,ugm-3,3.73224,P,ugm-3,5.11881,P,ugm-3,70.59789,P,ugm-3,6.132,P,ugm-3 (Ref.eq),5.13687,P,ugm-3
3,01-01-2023,04:00,14.1,P,ugm-3 (FIDAS),1.12257,P,ugm-3,2.96294,P,ugm-3,4.68419,P,ugm-3,72.89294,P,ugm-3,6.651,P,ugm-3 (Ref.eq),5.79544,P,ugm-3
4,01-01-2023,05:00,16.475,P,ugm-3 (FIDAS),1.06021,P,ugm-3,3.30002,P,ugm-3,4.92564,P,ugm-3,70.84735,P,ugm-3,7.5,P,ugm-3 (Ref.eq),5.92716,P,ugm-3
5,01-01-2023,06:00,16.95,P,ugm-3 (FIDAS),0.93548,P,ugm-3,3.49127,P,ugm-3,4.92564,P,ugm-3,70.89724,P,ugm-3,8.113,P,ugm-3 (Ref.eq),6.45401,P,ugm-3
6,01-01-2023,07:00,16.825,P,ugm-3 (FIDAS),1.02902,P,ugm-3,3.39612,P,ugm-3,4.97393,P,ugm-3,70.94714,P,ugm-3,8.137,P,ugm-3 (Ref.eq),6.38816,P,ugm-3
7,01-01-2023,08:00,19.725,P,ugm-3 (FIDAS),1.02902,P,ugm-3,3.83074,P,ugm-3,5.40855,P,ugm-3,68.75187,P,ugm-3,9.434,P,ugm-3 (Ref.eq),6.05887,P,ugm-3
8,01-01-2023,09:00,23.8,P,ugm-3 (FIDAS),1.06021,P,ugm-3,5.27993,P,ugm-3,6.90556,P,ugm-3,67.60434,P,ugm-3,10.66,P,ugm-3 (Ref.eq),6.05887,P,ugm-3
9,01-01-2023,10:00,23.05,P,ugm-3 (FIDAS),1.15375,P,ugm-3,4.65359,P,ugm-3,6.42265,P,ugm-3,69.25079,P,ugm-3,10.943,P,ugm-3 (Ref.eq),5.92716,P,ugm-3
10,01-01-2023,11:00,22.35,P,ugm-3 (FIDAS),1.37203,P,ugm-3,4.22232,P,ugm-3,6.32607,P,ugm-3,68.75187,P,ugm-3,10.637,P,ugm-3 (Ref.eq),5.99301,P,ugm-3
11,01-01-2023,12:00,21.1,P,ugm-3 (FIDAS),1.4344,P,ugm-3,4.80277,P,ugm-3,7.00214,P,ugm-3,67.55445,P,ugm-3,10.448,P,ugm-3 (Ref.eq),6.19058,P,ugm-3
12,01-01-2023,13:00,21.4,P,ugm-3 (FIDAS),1.52794,P,ugm-3,7.12215,P,ugm-3,9.46496,P,ugm-3,64.11186,P,ugm-3,10.826,P,ugm-3 (Ref.eq),6.05887,P,ugm-3
13,01-01-2023,14:00,22.1,P,ugm-3 (FIDAS),1.46558,P,ugm-3,6.15538,P,ugm-3,8.40257,P,ugm-3,65.50885,P,ugm-3,11.203,P,ugm-3 (Ref.eq),5.8613,P,ugm-3
14,01-01-2023,15:00,23.625,P,ugm-3 (FIDAS),1.4344,P,ugm-3,10.11473,P,ugm-3,12.31411,P,ugm-3,60.96864,P,ugm-3,12.193,P,ugm-3 (Ref.eq),5.99301,P,ugm-3
15,01-01-2023,16:00,22.7,P,ugm-3 (FIDAS),1.30967,P,ugm-3,11.2718,P,ugm-3,13.27992,P,ugm-3,56.92734,P,ugm-3,11.863,P,ugm-3 (Ref.eq),6.19058,P,ugm-3
16,01-01-2023,17:00,20.75,P,ugm-3 (FIDAS),1.34085,P,ugm-3,12.33467,P,ugm-3,14.39061,P,ugm-3,56.92734,P,ugm-3,10.259,P,ugm-3 (Ref.eq),6.05887,P,ugm-3
17,01-01-2023,18:00,17.025,P,ugm-3 (FIDAS),1.2473,P,ugm-3,14.65118,P,ugm-3,16.56368,P,ugm-3,55.231,P,ugm-3,9.104,P,ugm-3 (Ref.eq),5.99301,P,ugm-3
18,01-01-2023,19:00,11.1,P,ugm-3 (FIDAS),3.89781,P,ugm-3,32.51107,P,ugm-3,38.48763,P,ugm-3,48.89465,P,ugm-3,5.566,P,ugm-3 (Ref.eq),5.99301,P,ugm-3
19,01-01-2023,20:00,10.825,P,ugm-3 (FIDAS),5.7064,P,ugm-3,47.50889,P,ugm-3,56.25858,P,ugm-3,40.91185,P,ugm-3,6.109,P,ugm-3 (Ref.eq),5.99301,P,ugm-3
20,01-01-2023,21:00,9.5,P,ugm-3 (FIDAS),5.61285,P,ugm-3,45.7207,P,ugm-3,54.32695,P,ugm-3,37.96819,P,ugm-3,5.967,P,ugm-3 (Ref.eq),6.05887,P,ugm-3
21,01-01-2023,22:00,9.025,P,ugm-3 (FIDAS),7.6709,P,ugm-3,51.25739,P,ugm-3,63.01927,P,ugm-3,43.10712,P,ugm-3,4.764,P,ugm-3 (Ref.eq),6.05887,P,ugm-3
22,01-01-2023,23:00,11.7,P,ugm-3 (FIDAS),1.21612,P,ugm-3,18.46567,P,ugm-3,20.33035,P,ugm-3,50.64089,P,ugm-3,5.778,P,ugm-3 (Ref.eq),6.3223,P,ugm-3
23,01-01-2023,24:00,9.65,P,ugm-3 (FIDAS),1.30967,P,ugm-3,25.80728,P,ugm-3,27.8154,P,ugm-3,45.95099,P,ugm-3,5.425,P,ugm-3 (Ref.eq),6.25644,P,ugm-3
24,02-01-2023,01:00,6.025,P,ugm-3 (FIDAS),1.12257,P,ugm-3,12.37961,P,ugm-3,14.10086,P,ugm-3,59.27229,P,ugm-3,3.373,P,ugm-3 (Ref.eq),6.3223,P,ugm-3
25,02-01-2023,02:00,5.175,P,ugm-3 (FIDAS),1.2473,P,ugm-3,10.965,P,ugm-3,12.8775,P,ugm-3,56.54483,P,ugm-3,3.231,P,ugm-3 (Ref.eq),5.61982,P,ugm-3
26,02-01-2023,03:00,6.125,P,ugm-3 (FIDAS),1.12257,P,ugm-3,7.45397,P,ugm-3,9.17522,P,ugm-3,56.67788,P,ugm-3,3.373,P,ugm-3 (Ref.eq),5.72958,P,ugm-3
27,02-01-2023,04:00,7.25,P,ugm-3 (FIDAS),1.2473,P,ugm-3,8.3734,P,ugm-3,10.2859,P,ugm-3,54.93164,P,ugm-3,3.514,P,ugm-3 (Ref.eq),5.72958,P,ugm-3
28,02-01-2023,05:00,7.75,P,ugm-3 (FIDAS),1.30967,P,ugm-3,6.39444,P,ugm-3,8.40257,P,ugm-3,56.87745,P,ugm-3,3.915,P,ugm-3 (Ref.eq),5.8613,P,ugm-3
29,02-01-2023,06:00,7.925,P,ugm-3 (FIDAS),1.37203,P,ugm-3,8.08557,P,ugm-3,10.18932,P,ugm-3,53.13551,P,ugm-3,3.538,P,ugm-3 (Ref.eq),5.53201,P,ugm-3
30,02-01-2023,07:00,8.9,P,ugm-3 (FIDAS),1.34085,P,ugm-3,12.62441,P,ugm-3,14.68035,P,ugm-3,48.34583,P,ugm-3,3.514,P,ugm-3 (Ref.eq),5.79544,P,ugm-3
31,02-01-2023,08:00,7.525,P,ugm-3 (FIDAS),1.2473,P,ugm-3,12.09178,P,ugm-3,14.00428,P,ugm-3,48.99444,P,ugm-3,3.325,P,ugm-3 (Ref.eq),5.13687,P,ugm-3
32,02-01-2023,09:00,8.325,P,ugm-3 (FIDAS),2.15159,P,ugm-3,22.1501,P,ugm-3,25.44916,P,ugm-3,37.41938,P,ugm-3,3.844,P,ugm-3 (Ref.eq),5.26858,P,ugm-3
33,02-01-2023,10:00,10.275,P,ugm-3 (FIDAS),9.91604,P,ugm-3,45.49694,P,ugm-3,60.70132,P,ugm-3,25.04604,P,ugm-3,4.835,P,ugm-3 (Ref.eq),5.66373,P,ugm-3
34,02-01-2023,11:00,11.45,P,ugm-3 (FIDAS),14.28159,P,ugm-3,50.73098,P,ugm-3,72.6291,P,ugm-3,27.19141,P,ugm-3,5.755,P,ugm-3 (Ref.eq),5.4003,P,ugm-3
35,02-01-2023,12:00,8.675,P,ugm-3 (FIDAS),8.7311,P,ugm-3,28.57705,P,ugm-3,41.96455,P,ugm-3,36.87056,P,ugm-3,4.505,P,ugm-3 (Ref.eq),5.46615,P,ugm-3
36,02-01-2023,13:00,8.7,P,ugm-3 (FIDAS),8.38809,P,ugm-3,27.84743,P,ugm-3,40.709,P,ugm-3,42.50841,P,ugm-3,4.387,P,ugm-3 (Ref.eq),5.59787,P,ugm-3
37,02-01-2023,14:00,6.025,P,ugm-3 (FIDAS),6.39241,P,ugm-3,24.24333,P,ugm-3,34.04489,P,ugm-3,45.15271,P,ugm-3,3.656,P,ugm-3 (Ref.eq),5.26858,P,ugm-3
38,02-01-2023,15:00,7.375,P,ugm-3 (FIDAS),9.9784,P,ugm-3,36.46755,P,ugm-3,51.76755,P,ugm-3,39.46497,P,ugm-3,3.396,P,ugm-3 (Ref.eq),5.46615,P,ugm-3
39,02-01-2023,16:00,9.925,P,ugm-3 (FIDAS),12.50418,P,ugm-3,48.7721,P,ugm-3,67.94491,P,ugm-3,30.93335,P,ugm-3,3.632,P,ugm-3 (Ref.eq),5.66373,P,ugm-3
40,02-01-2023,17:00,9.225,P,ugm-3 (FIDAS),7.95154,P,ugm-3,39.67194,P,ugm-3,51.86413,P,ugm-3,33.97679,P,ugm-3,4.175,P,ugm-3 (Ref.eq),5.07101,P,ugm-3
41,02-01-2023,18:00,7.45,P,ugm-3 (FIDAS),2.93116,P,ugm-3,39.20864,P,ugm-3,43.70302,P,ugm-3,27.19141,P,ugm-3,4.458,P,ugm-3 (Ref.eq),4.61001,P,ugm-3
42,02-01-2023,19:00,10.625,P,ugm-3 (FIDAS),2.33869,P,ugm-3,40.40682,P,ugm-3,43.99276,P,ugm-3,24.29765,P,ugm-3,6.934,P,ugm-3 (Ref.eq),4.74172,P,ugm-3
43,02-01-2023,20:00,13.825,P,ugm-3 (FIDAS),2.30751,P,ugm-3,43.59353,P,ugm-3,47.13165,P,ugm-3,19.50797,P,ugm-3,9.41,P,ugm-3 (Ref.eq),4.54415,P,ugm-3
44,02-01-2023,21:00,19.175,P,ugm-3 (FIDAS),2.36987,P,ugm-3,47.55431,P,ugm-3,51.18806,P,ugm-3,14.91786,P,ugm-3,13.396,P,ugm-3 (Ref.eq),4.80758,P,ugm-3
45,02-01-2023,22:00,15.8,P,ugm-3 (FIDAS),3.18062,P,ugm-3,52.39581,P,ugm-3,57.27268,P,ugm-3,13.92001,P,ugm-3,11.934,P,ugm-3 (Ref.eq),4.80758,P,ugm-3
46,02-01-2023,23:00,16.925,P,ugm-3 (FIDAS),3.7419,P,ugm-3,48.15484,P,ugm-3,53.89234,P,ugm-3,11.77463,P,ugm-3,11.486,P,ugm-3 (Ref.eq),4.80758,P,ugm-3
47,02-01-2023,24:00,16.675,P,ugm-3 (FIDAS),4.67738,P,ugm-3,53.52944,P,ugm-3,60.70132,P,ugm-3,9.13033,P,ugm-3,11.722,P,ugm-3 (Ref.eq),5.33444,P,ugm-3
48,03-01-2023,01:00,11.45,P,ugm-3 (FIDAS),3.36771,P,ugm-3,39.64995,P,ugm-3,44.8137,P,ugm-3,20.35614,P,ugm-3,8.561,P,ugm-3 (Ref.eq),5.26858,P,ugm-3
49,03-01-2023,02:00,9.425,P,ugm-3 (FIDAS),1.74622,P,ugm-3,19.85812,P,ugm-3,22.53562,P,ugm-3,38.58353,P,ugm-3,6.274,P,ugm-3 (Ref.eq),4.74172,P,ugm-3
50,03-01-2023,03:00,9.3,P,ugm-3 (FIDAS),1.55913,P,ugm-3,17.89144,P,ugm-3,20.28206,P,ugm-3,37.76862,P,ugm-3,5.943,P,ugm-3 (Ref.eq),4.61001,P,ugm-3
51,03-01-2023,04:00,10.1,P,ugm-3 (FIDAS),1.4344,P,ugm-3,19.38653,P,ugm-3,21.58591,P,ugm-3,32.87916,P,ugm-3,6.368,P,ugm-3 (Ref.eq),4.74172,P,ugm-3
52,03-01-2023,05:00,11.15,P,ugm-3 (FIDAS),1.4344,P,ugm-3,17.26175,P,ugm-3,19.46112,P,ugm-3,40.31314,P,ugm-3,6.675,P,ugm-3 (Ref.eq),3.62215,P,ugm-3
53,03-01-2023,06:00,13.85,P,ugm-3 (FIDAS),1.46558,P,ugm-3,14.75111,P,ugm-3,16.9983,P,ugm-3,41.01164,P,ugm-3,8.326,P,ugm-3 (Ref.eq),2.96358,P,ugm-3
54,03-01-2023,07:00,13.475,P,ugm-3 (FIDAS),1.71504,P,ugm-3,20.88785,P,ugm-3,23.51753,P,ugm-3,38.6168,P,ugm-3,8.113,P,ugm-3 (Ref.eq),3.95144,P,ugm-3
