,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,01-01-2013,01:00,17.6,R,ugm-3 (TEOM FDMS),,,,,,,,,,15.8,R,ugm-3 (TEOM FDMS),,,,,,,,,,,,,1.8,R,ugm-3 (TEOM FDMS),,,
1,01-01-2013,02:00,16.6,R,ugm-3 (TEOM FDMS),2.23111,R,ugm-3,35.89428,R,ugm-3,39.31526,R,ugm-3,13.9,R,ugm-3 (TEOM FDMS),,,,31.32185,R,ugm-3,,,,2.26443,R,ugm-3,2.7,R,ugm-3 (TEOM FDMS),,,
2,01-01-2013,03:00,8.0,R,ugm-3 (TEOM FDMS),5.75629,R,ugm-3,38.50771,R,ugm-3,47.3339,R,ugm-3,6.7,R,ugm-3 (TEOM FDMS),,,,42.0499,R,ugm-3,,,,2.03758,R,ugm-3,1.3,R,ugm-3 (TEOM FDMS),,,
3,01-01-2013,04:00,3.5,R,ugm-3 (TEOM FDMS),9.05852,R,ugm-3,69.17273,R,ugm-3,83.06227,R,ugm-3,2.4,R,ugm-3 (TEOM FDMS),,,,31.21574,R,ugm-3,,,,2.92034,R,ugm-3,1.1,R,ugm-3 (TEOM FDMS),,,
4,01-01-2013,05:00,5.2,R,ugm-3 (TEOM FDMS),12.89584,R,ugm-3,81.78615,R,ugm-3,101.55949,R,ugm-3,3.2,R,ugm-3 (TEOM FDMS),,,,26.8711,R,ugm-3,,,,2.98819,R,ugm-3,2.0,R,ugm-3 (TEOM FDMS),,,
5,01-01-2013,06:00,6.1,R,ugm-3 (TEOM FDMS),12.62798,R,ugm-3,69.11488,R,ugm-3,88.47751,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),,,,24.77911,R,ugm-3,,,,2.24181,R,ugm-3,0.9,R,ugm-3 (TEOM FDMS),,,
6,01-01-2013,07:00,6.9,R,ugm-3 (TEOM FDMS),8.96871,R,ugm-3,66.00516,R,ugm-3,79.75699,R,ugm-3,4.6,R,ugm-3 (TEOM FDMS),,,,30.6784,R,ugm-3,,,,2.24181,R,ugm-3,2.3,R,ugm-3 (TEOM FDMS),,,
7,01-01-2013,08:00,6.6,R,ugm-3 (TEOM FDMS),9.81688,R,ugm-3,67.44718,R,ugm-3,82.49951,R,ugm-3,5.3,R,ugm-3 (TEOM FDMS),,,,28.74756,R,ugm-3,,,,3.39597,R,ugm-3,1.3,R,ugm-3 (TEOM FDMS),,,
8,01-01-2013,09:00,6.3,R,ugm-3 (TEOM FDMS),6.06843,R,ugm-3,53.00972,R,ugm-3,62.31451,R,ugm-3,7.1,R,ugm-3 (TEOM FDMS),,,,25.1548,R,ugm-3,,,,2.78463,R,ugm-3,-0.8,R,ugm-3 (TEOM FDMS),,,
9,01-01-2013,10:00,10.0,R,ugm-3 (TEOM FDMS),7.67495,R,ugm-3,47.10057,R,ugm-3,58.86866,R,ugm-3,8.9,R,ugm-3 (TEOM FDMS),,,,34.05812,R,ugm-3,,,,2.64893,R,ugm-3,1.1,R,ugm-3 (TEOM FDMS),,,
10,01-01-2013,11:00,9.4,R,ugm-3 (TEOM FDMS),9.05852,R,ugm-3,44.20505,R,ugm-3,58.09458,R,ugm-3,8.9,R,ugm-3 (TEOM FDMS),,,,39.42156,R,ugm-3,,,,3.2596,R,ugm-3,0.5,R,ugm-3 (TEOM FDMS),,,
11,01-01-2013,12:00,6.1,R,ugm-3 (TEOM FDMS),16.46561,R,ugm-3,64.42639,R,ugm-3,89.6733,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),,,,38.72456,R,ugm-3,,,,4.61932,R,ugm-3,-0.2,R,ugm-3 (TEOM FDMS),,,
12,01-01-2013,13:00,8.0,R,ugm-3 (TEOM FDMS),17.17938,R,ugm-3,67.13066,R,ugm-3,93.472,R,ugm-3,7.5,R,ugm-3 (TEOM FDMS),,,,42.80078,R,ugm-3,,,,5.43356,R,ugm-3,0.5,R,ugm-3 (TEOM FDMS),,,
