,Unnamed: 0,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,Nitric oxide,status.1,unit.1,Nitrogen dioxide,status.2,unit.2,Nitrogen oxides as nitrogen dioxide,status.3,unit.3,Non-volatile PM<sub>10</sub> (Hourly measured),status.4,unit.4,Non-volatile PM<sub>2.5</sub> (Hourly measured),status.5,unit.5,Ozone,status.6,unit.6,PM<sub>2.5</sub> particulate matter (Hourly measured),status.7,unit.7,Sulphur dioxide,status.8,unit.8,Volatile PM<sub>10</sub> (Hourly measured),status.9,unit.9,Volatile PM<sub>2.5</sub> (Hourly measured),status.10,unit.10
0,0,01-01-2020,01:00,44.9,R,ugm-3 (TEOM FDMS),14.30497,R,ugm-3,39.99042,R,ugm-3,61.9244,R,ugm-3,35.3,R,ugm-3 (TEOM FDMS),29.1,R,ugm-3 (TEOM FDMS),1.33047,R,ugm-3,35.6,R,ugm-3 (TEOM FDMS),1.21118,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),9.7,R,ugm-3 (TEOM FDMS)
1,1,01-01-2020,02:00,48.5,R,ugm-3 (TEOM FDMS),15.92318,R,ugm-3,37.90489,R,ugm-3,62.32008,R,ugm-3,39.5,R,ugm-3 (TEOM FDMS),36.8,R,ugm-3 (TEOM FDMS),1.59656,R,ugm-3,42.5,R,ugm-3 (TEOM FDMS),1.73025,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),8.9,R,ugm-3 (TEOM FDMS)
2,2,01-01-2020,03:00,49.1,R,ugm-3 (TEOM FDMS),20.53507,R,ugm-3,37.2138,R,ugm-3,68.70047,R,ugm-3,40.8,R,ugm-3 (TEOM FDMS),36.8,R,ugm-3 (TEOM FDMS),1.9957,R,ugm-3,42.3,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.3,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS)
3,3,01-01-2020,04:00,53.1,R,ugm-3 (TEOM FDMS),15.48626,R,ugm-3,36.49748,R,ugm-3,60.24275,R,ugm-3,45.0,R,ugm-3 (TEOM FDMS),40.1,R,ugm-3 (TEOM FDMS),2.04559,R,ugm-3,45.6,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS)
4,4,01-01-2020,05:00,46.3,R,ugm-3 (TEOM FDMS),4.32062,R,ugm-3,28.24472,R,ugm-3,34.86957,R,ugm-3,37.4,R,ugm-3 (TEOM FDMS),34.6,R,ugm-3 (TEOM FDMS),7.58366,R,ugm-3,40.4,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,8.9,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3 (TEOM FDMS)
5,5,01-01-2020,06:00,43.7,R,ugm-3 (TEOM FDMS),3.05842,R,ugm-3,27.73178,R,ugm-3,32.42128,R,ugm-3,33.4,R,ugm-3 (TEOM FDMS),32.0,R,ugm-3 (TEOM FDMS),7.3342,R,ugm-3,39.6,R,ugm-3 (TEOM FDMS),0.8435,R,ugm-3,10.3,R,ugm-3 (TEOM FDMS),10.8,R,ugm-3 (TEOM FDMS)
6,6,01-01-2020,07:00,46.1,R,ugm-3 (TEOM FDMS),3.83516,R,ugm-3,29.87937,R,ugm-3,35.75986,R,ugm-3,36.4,R,ugm-3 (TEOM FDMS),33.2,R,ugm-3 (TEOM FDMS),6.6357,R,ugm-3,39.5,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,9.7,R,ugm-3 (TEOM FDMS),9.5,R,ugm-3 (TEOM FDMS)
7,7,01-01-2020,08:00,42.7,R,ugm-3 (TEOM FDMS),6.60229,R,ugm-3,36.17155,R,ugm-3,46.29492,R,ugm-3,32.0,R,ugm-3 (TEOM FDMS),30.1,R,ugm-3 (TEOM FDMS),4.29076,R,ugm-3,35.0,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,10.7,R,ugm-3 (TEOM FDMS),8.1,R,ugm-3 (TEOM FDMS)
8,8,01-01-2020,09:00,42.8,R,ugm-3 (TEOM FDMS),49.12883,R,ugm-3,40.63005,R,ugm-3,115.95987,R,ugm-3,33.2,R,ugm-3 (TEOM FDMS),33.1,R,ugm-3 (TEOM FDMS),1.69635,R,ugm-3,39.3,R,ugm-3 (TEOM FDMS),2.66026,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),9.4,R,ugm-3 (TEOM FDMS)
9,9,01-01-2020,10:00,42.1,R,ugm-3 (TEOM FDMS),55.48839,R,ugm-3,41.63649,R,ugm-3,126.7175,R,ugm-3,32.2,R,ugm-3 (TEOM FDMS),30.2,R,ugm-3 (TEOM FDMS),2.04559,R,ugm-3,37.1,R,ugm-3 (TEOM FDMS),3.17934,R,ugm-3,9.9,R,ugm-3 (TEOM FDMS),10.1,R,ugm-3 (TEOM FDMS)
10,10,01-01-2020,11:00,41.3,R,ugm-3 (TEOM FDMS),57.2846,R,ugm-3,42.66606,R,ugm-3,130.50122,R,ugm-3,31.7,R,ugm-3 (TEOM FDMS),30.4,R,ugm-3 (TEOM FDMS),2.34495,R,ugm-3,35.9,R,ugm-3 (TEOM FDMS),3.37399,R,ugm-3,9.6,R,ugm-3 (TEOM FDMS),8.7,R,ugm-3 (TEOM FDMS)
11,11,01-01-2020,12:00,41.9,R,ugm-3 (TEOM FDMS),47.86662,R,ugm-3,45.53303,R,ugm-3,118.92749,R,ugm-3,31.0,R,ugm-3 (TEOM FDMS),29.5,R,ugm-3 (TEOM FDMS),3.59226,R,ugm-3,38.1,R,ugm-3 (TEOM FDMS),2.85492,R,ugm-3,10.9,R,ugm-3 (TEOM FDMS),11.8,R,ugm-3 (TEOM FDMS)
12,12,01-01-2020,13:00,41.0,R,ugm-3 (TEOM FDMS),15.0008,R,ugm-3,41.91585,R,ugm-3,64.91675,R,ugm-3,31.2,R,ugm-3 (TEOM FDMS),30.6,R,ugm-3 (TEOM FDMS),7.58366,R,ugm-3,39.0,R,ugm-3 (TEOM FDMS),1.29769,R,ugm-3,9.8,R,ugm-3 (TEOM FDMS),11.6,R,ugm-3 (TEOM FDMS)
13,13,01-01-2020,14:00,42.8,R,ugm-3 (TEOM FDMS),11.35983,R,ugm-3,40.22792,R,ugm-3,57.64608,R,ugm-3,33.3,R,ugm-3 (TEOM FDMS),31.6,R,ugm-3 (TEOM FDMS),8.23226,R,ugm-3,38.8,R,ugm-3 (TEOM FDMS),1.23281,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),10.4,R,ugm-3 (TEOM FDMS)
14,14,01-01-2020,15:00,39.1,R,ugm-3 (TEOM FDMS),7.62177,R,ugm-3,38.68886,R,ugm-3,50.3754,R,ugm-3,29.6,R,ugm-3 (TEOM FDMS),27.9,R,ugm-3 (TEOM FDMS),11.07614,R,ugm-3,32.7,R,ugm-3 (TEOM FDMS),1.16792,R,ugm-3,9.5,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS)
15,15,01-01-2020,16:00,35.8,R,ugm-3 (TEOM FDMS),10.14617,R,ugm-3,41.5695,R,ugm-3,57.12674,R,ugm-3,26.8,R,ugm-3 (TEOM FDMS),25.6,R,ugm-3 (TEOM FDMS),10.97635,R,ugm-3,29.9,R,ugm-3 (TEOM FDMS),1.29769,R,ugm-3,9.0,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS)
16,16,01-01-2020,17:00,39.7,R,ugm-3 (TEOM FDMS),5.8741,R,ugm-3,47.74897,R,ugm-3,56.75579,R,ugm-3,31.6,R,ugm-3 (TEOM FDMS),28.6,R,ugm-3 (TEOM FDMS),5.43828,R,ugm-3,31.8,R,ugm-3 (TEOM FDMS),1.10304,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),6.4,R,ugm-3 (TEOM FDMS)
17,17,01-01-2020,18:00,36.1,R,ugm-3 (TEOM FDMS),2.71859,R,ugm-3,39.5298,R,ugm-3,43.69825,R,ugm-3,28.2,R,ugm-3 (TEOM FDMS),25.6,R,ugm-3 (TEOM FDMS),12.92216,R,ugm-3,30.5,R,ugm-3 (TEOM FDMS),0.77861,R,ugm-3,7.9,R,ugm-3 (TEOM FDMS),8.1,R,ugm-3 (TEOM FDMS)
18,18,01-01-2020,19:00,33.2,R,ugm-3 (TEOM FDMS),2.47586,R,ugm-3,37.37951,R,ugm-3,41.17577,R,ugm-3,25.5,R,ugm-3 (TEOM FDMS),25.5,R,ugm-3 (TEOM FDMS),15.16732,R,ugm-3,30.8,R,ugm-3 (TEOM FDMS),0.8435,R,ugm-3,7.7,R,ugm-3 (TEOM FDMS),8.5,R,ugm-3 (TEOM FDMS)
19,19,01-01-2020,20:00,32.3,R,ugm-3 (TEOM FDMS),2.03894,R,ugm-3,33.598,R,ugm-3,36.72434,R,ugm-3,24.7,R,ugm-3 (TEOM FDMS),21.5,R,ugm-3 (TEOM FDMS),20.75528,R,ugm-3,27.7,R,ugm-3 (TEOM FDMS),0.64884,R,ugm-3,7.6,R,ugm-3 (TEOM FDMS),9.4,R,ugm-3 (TEOM FDMS)
20,20,01-01-2020,21:00,28.8,R,ugm-3 (TEOM FDMS),2.08749,R,ugm-3,39.23624,R,ugm-3,42.43701,R,ugm-3,20.6,R,ugm-3 (TEOM FDMS),19.0,R,ugm-3 (TEOM FDMS),16.56431,R,ugm-3,24.8,R,ugm-3 (TEOM FDMS),0.58396,R,ugm-3,8.2,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3 (TEOM FDMS)
21,21,01-01-2020,22:00,30.1,R,ugm-3 (TEOM FDMS),3.73806,R,ugm-3,42.26969,R,ugm-3,48.0013,R,ugm-3,22.0,R,ugm-3 (TEOM FDMS),19.0,R,ugm-3 (TEOM FDMS),16.31485,R,ugm-3,24.4,R,ugm-3 (TEOM FDMS),0.58396,R,ugm-3,8.1,R,ugm-3 (TEOM FDMS),8.6,R,ugm-3 (TEOM FDMS)
22,22,01-01-2020,23:00,25.3,R,ugm-3 (TEOM FDMS),1.55348,R,ugm-3,30.48445,R,ugm-3,32.86643,R,ugm-3,17.1,R,ugm-3 (TEOM FDMS),17.3,R,ugm-3 (TEOM FDMS),26.74238,R,ugm-3,22.5,R,ugm-3 (TEOM FDMS),0.45419,R,ugm-3,8.2,R,ugm-3 (TEOM FDMS),8.4,R,ugm-3 (TEOM FDMS)
23,23,01-01-2020,24:00,21.8,R,ugm-3 (TEOM FDMS),1.8933,R,ugm-3,25.73454,R,ugm-3,28.63756,R,ugm-3,14.1,R,ugm-3 (TEOM FDMS),13.1,R,ugm-3 (TEOM FDMS),25.54496,R,ugm-3,19.7,R,ugm-3 (TEOM FDMS),0.32442,R,ugm-3,7.7,R,ugm-3 (TEOM FDMS),9.8,R,ugm-3 (TEOM FDMS)
24,24,02-01-2020,01:00,20.1,R,ugm-3 (TEOM FDMS),1.94566,R,ugm-3,20.41054,R,ugm-3,23.39385,R,ugm-3,10.9,R,ugm-3 (TEOM FDMS),11.8,R,ugm-3 (TEOM FDMS),,,,17.7,R,ugm-3 (TEOM FDMS),0.6053,R,ugm-3,9.2,R,ugm-3 (TEOM FDMS),9.1,R,ugm-3 (TEOM FDMS)
25,25,02-01-2020,02:00,14.3,R,ugm-3 (TEOM FDMS),1.1674,R,ugm-3,17.39099,R,ugm-3,19.18097,R,ugm-3,7.4,R,ugm-3 (TEOM FDMS),9.0,R,ugm-3 (TEOM FDMS),28.53851,R,ugm-3,14.1,R,ugm-3 (TEOM FDMS),1.29707,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),8.3,R,ugm-3 (TEOM FDMS)
26,26,02-01-2020,03:00,14.7,R,ugm-3 (TEOM FDMS),1.07011,R,ugm-3,17.39146,R,ugm-3,19.03228,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),9.1,R,ugm-3 (TEOM FDMS),27.88991,R,ugm-3,14.2,R,ugm-3 (TEOM FDMS),0.77824,R,ugm-3,7.7,R,ugm-3 (TEOM FDMS),8.3,R,ugm-3 (TEOM FDMS)
27,27,02-01-2020,04:00,12.8,R,ugm-3 (TEOM FDMS),1.1674,R,ugm-3,15.16064,R,ugm-3,16.95063,R,ugm-3,6.8,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS),30.88346,R,ugm-3,10.7,R,ugm-3 (TEOM FDMS),0.19456,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS)
28,28,02-01-2020,05:00,13.4,R,ugm-3 (TEOM FDMS),1.07011,R,ugm-3,13.00512,R,ugm-3,14.64594,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),7.8,R,ugm-3 (TEOM FDMS),31.58195,R,ugm-3,11.7,R,ugm-3 (TEOM FDMS),0.90795,R,ugm-3,5.4,R,ugm-3 (TEOM FDMS),7.1,R,ugm-3 (TEOM FDMS)
29,29,02-01-2020,06:00,13.4,R,ugm-3 (TEOM FDMS),1.26468,R,ugm-3,20.513,R,ugm-3,22.45214,R,ugm-3,6.7,R,ugm-3 (TEOM FDMS),7.1,R,ugm-3 (TEOM FDMS),26.14367,R,ugm-3,11.4,R,ugm-3 (TEOM FDMS),0.9728,R,ugm-3,6.7,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS)
30,30,02-01-2020,07:00,11.9,R,ugm-3 (TEOM FDMS),2.38343,R,ugm-3,29.5776,R,ugm-3,33.23215,R,ugm-3,6.0,R,ugm-3 (TEOM FDMS),4.4,R,ugm-3 (TEOM FDMS),19.45808,R,ugm-3,7.9,R,ugm-3 (TEOM FDMS),0.90795,R,ugm-3,5.9,R,ugm-3 (TEOM FDMS),6.7,R,ugm-3 (TEOM FDMS)
31,31,02-01-2020,08:00,7.2,R,ugm-3 (TEOM FDMS),2.62664,R,ugm-3,35.37531,R,ugm-3,39.40277,R,ugm-3,2.8,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS),21.50367,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),0.9728,R,ugm-3,4.4,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS)
32,32,02-01-2020,09:00,12.6,R,ugm-3 (TEOM FDMS),3.64811,R,ugm-3,34.77556,R,ugm-3,40.36925,R,ugm-3,7.0,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),22.25206,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),1.10251,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),4.4,R,ugm-3 (TEOM FDMS)
33,33,02-01-2020,10:00,9.4,R,ugm-3 (TEOM FDMS),4.91279,R,ugm-3,36.18193,R,ugm-3,43.71477,R,ugm-3,4.3,R,ugm-3 (TEOM FDMS),3.0,R,ugm-3 (TEOM FDMS),23.44948,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),1.16736,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),6.5,R,ugm-3 (TEOM FDMS)
34,34,02-01-2020,11:00,6.8,R,ugm-3 (TEOM FDMS),3.35627,R,ugm-3,24.29436,R,ugm-3,29.44056,R,ugm-3,1.4,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),35.62325,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),0.51883,R,ugm-3,5.4,R,ugm-3 (TEOM FDMS),6.4,R,ugm-3 (TEOM FDMS)
35,35,02-01-2020,12:00,7.2,R,ugm-3 (TEOM FDMS),4.23181,R,ugm-3,23.91835,R,ugm-3,30.40704,R,ugm-3,1.7,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS),37.86841,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),0.9728,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),5.6,R,ugm-3 (TEOM FDMS)
36,36,02-01-2020,13:00,10.8,R,ugm-3 (TEOM FDMS),3.06442,R,ugm-3,23.55234,R,ugm-3,28.25104,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS),38.01809,R,ugm-3,7.3,R,ugm-3 (TEOM FDMS),0.90795,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),6.3,R,ugm-3 (TEOM FDMS)
37,37,02-01-2020,14:00,13.2,R,ugm-3 (TEOM FDMS),2.86985,R,ugm-3,21.84336,R,ugm-3,26.24373,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),6.4,R,ugm-3 (TEOM FDMS),36.87056,R,ugm-3,9.8,R,ugm-3 (TEOM FDMS),0.77824,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),6.6,R,ugm-3 (TEOM FDMS)
38,38,02-01-2020,15:00,13.9,R,ugm-3 (TEOM FDMS),2.14023,R,ugm-3,19.54223,R,ugm-3,22.82387,R,ugm-3,9.3,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),44.65379,R,ugm-3,8.4,R,ugm-3 (TEOM FDMS),1.16736,R,ugm-3,4.6,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS)
39,39,02-01-2020,16:00,13.6,R,ugm-3 (TEOM FDMS),1.75109,R,ugm-3,20.808,R,ugm-3,23.49297,R,ugm-3,8.5,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS),46.05078,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),1.10251,R,ugm-3,5.1,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS)
40,40,02-01-2020,17:00,10.4,R,ugm-3 (TEOM FDMS),1.65381,R,ugm-3,21.62627,R,ugm-3,24.16208,R,ugm-3,6.9,R,ugm-3 (TEOM FDMS),4.6,R,ugm-3 (TEOM FDMS),47.49766,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),1.23222,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS)
41,41,02-01-2020,18:00,11.8,R,ugm-3 (TEOM FDMS),1.75109,R,ugm-3,22.51793,R,ugm-3,25.2029,R,ugm-3,7.8,R,ugm-3 (TEOM FDMS),6.1,R,ugm-3 (TEOM FDMS),48.69508,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),1.36192,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),3.4,R,ugm-3 (TEOM FDMS)
42,42,02-01-2020,19:00,11.1,R,ugm-3 (TEOM FDMS),0.77826,R,ugm-3,22.44834,R,ugm-3,23.64166,R,ugm-3,8.3,R,ugm-3 (TEOM FDMS),6.2,R,ugm-3 (TEOM FDMS),49.54325,R,ugm-3,6.7,R,ugm-3 (TEOM FDMS),1.16736,R,ugm-3,2.8,R,ugm-3 (TEOM FDMS),3.7,R,ugm-3 (TEOM FDMS)
43,43,02-01-2020,20:00,10.9,R,ugm-3 (TEOM FDMS),0.92419,R,ugm-3,18.20997,R,ugm-3,19.62704,R,ugm-3,6.8,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS),53.73422,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),1.10251,R,ugm-3,4.1,R,ugm-3 (TEOM FDMS),3.7,R,ugm-3 (TEOM FDMS)
44,44,02-01-2020,21:00,11.7,R,ugm-3 (TEOM FDMS),1.02147,R,ugm-3,19.10163,R,ugm-3,20.66787,R,ugm-3,8.0,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),52.28734,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),1.10251,R,ugm-3,3.7,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS)
45,45,02-01-2020,22:00,12.0,R,ugm-3 (TEOM FDMS),1.07011,R,ugm-3,13.89726,R,ugm-3,15.53807,R,ugm-3,8.6,R,ugm-3 (TEOM FDMS),6.8,R,ugm-3 (TEOM FDMS),56.72777,R,ugm-3,8.2,R,ugm-3 (TEOM FDMS),1.29707,R,ugm-3,3.4,R,ugm-3 (TEOM FDMS),4.6,R,ugm-3 (TEOM FDMS)
46,46,02-01-2020,23:00,11.6,R,ugm-3 (TEOM FDMS),1.02147,R,ugm-3,11.74149,R,ugm-3,13.30773,R,ugm-3,8.5,R,ugm-3 (TEOM FDMS),8.0,R,ugm-3 (TEOM FDMS),55.97939,R,ugm-3,8.6,R,ugm-3 (TEOM FDMS),1.10251,R,ugm-3,3.1,R,ugm-3 (TEOM FDMS),3.8,R,ugm-3 (TEOM FDMS)
47,47,02-01-2020,24:00,11.4,R,ugm-3 (TEOM FDMS),0.38913,R,ugm-3,7.43258,R,ugm-3,8.02924,R,ugm-3,8.6,R,ugm-3 (TEOM FDMS),5.2,R,ugm-3 (TEOM FDMS),60.46971,R,ugm-3,5.6,R,ugm-3 (TEOM FDMS),1.03766,R,ugm-3,2.8,R,ugm-3 (TEOM FDMS),3.6,R,ugm-3 (TEOM FDMS)
48,48,03-01-2020,01:00,12.1,R,ugm-3 (TEOM FDMS),0.77979,R,ugm-3,6.35359,R,ugm-3,7.54924,R,ugm-3,7.3,R,ugm-3 (TEOM FDMS),5.0,R,ugm-3 (TEOM FDMS),59.0062,R,ugm-3,6.1,R,ugm-3 (TEOM FDMS),0.77787,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),4.3,R,ugm-3 (TEOM FDMS)
49,49,03-01-2020,02:00,8.9,R,ugm-3 (TEOM FDMS),0.68231,R,ugm-3,7.89369,R,ugm-3,8.93989,R,ugm-3,4.9,R,ugm-3 (TEOM FDMS),4.2,R,ugm-3 (TEOM FDMS),57.0105,R,ugm-3,5.7,R,ugm-3 (TEOM FDMS),1.29645,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),4.7,R,ugm-3 (TEOM FDMS)
50,50,03-01-2020,03:00,8.0,R,ugm-3 (TEOM FDMS),0.58484,R,ugm-3,5.06319,R,ugm-3,5.95993,R,ugm-3,4.8,R,ugm-3 (TEOM FDMS),1.4,R,ugm-3 (TEOM FDMS),58.82326,R,ugm-3,2.1,R,ugm-3 (TEOM FDMS),1.23162,R,ugm-3,3.2,R,ugm-3 (TEOM FDMS),3.9,R,ugm-3 (TEOM FDMS)
51,51,03-01-2020,04:00,6.5,R,ugm-3 (TEOM FDMS),0.77979,R,ugm-3,4.31728,R,ugm-3,5.51293,R,ugm-3,3.9,R,ugm-3 (TEOM FDMS),2.0,R,ugm-3 (TEOM FDMS),59.67143,R,ugm-3,1.7,R,ugm-3 (TEOM FDMS),1.10198,R,ugm-3,2.6,R,ugm-3 (TEOM FDMS),2.9,R,ugm-3 (TEOM FDMS)
52,52,03-01-2020,05:00,3.8,R,ugm-3 (TEOM FDMS),5.75094,R,ugm-3,16.13922,R,ugm-3,24.95721,R,ugm-3,2.3,R,ugm-3 (TEOM FDMS),2.8,R,ugm-3 (TEOM FDMS),54.43272,R,ugm-3,1.2,R,ugm-3 (TEOM FDMS),1.29645,R,ugm-3,1.5,R,ugm-3 (TEOM FDMS),1.6,R,ugm-3 (TEOM FDMS)
53,53,03-01-2020,06:00,3.3,R,ugm-3 (TEOM FDMS),4.38631,R,ugm-3,16.44365,R,ugm-3,23.16923,R,ugm-3,0.6,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS),56.67788,R,ugm-3,0.9,R,ugm-3 (TEOM FDMS),1.42609,R,ugm-3,2.7,R,ugm-3 (TEOM FDMS),2.6,R,ugm-3 (TEOM FDMS)
54,54,03-01-2020,07:00,1.9,R,ugm-3 (TEOM FDMS),3.02168,R,ugm-3,19.87703,R,ugm-3,24.51021,R,ugm-3,1.3,R,ugm-3 (TEOM FDMS),2.7,R,ugm-3 (TEOM FDMS),48.5953,R,ugm-3,0.2,R,ugm-3 (TEOM FDMS),1.49091,R,ugm-3,0.6,R,ugm-3 (TEOM FDMS),0.7,R,ugm-3 (TEOM FDMS)
55,55,03-01-2020,08:00,4.0,R,ugm-3 (TEOM FDMS),1.90073,R,ugm-3,24.35226,R,ugm-3,27.26668,R,ugm-3,3.5,R,ugm-3 (TEOM FDMS),4.9,R,ugm-3 (TEOM FDMS),40.81207,R,ugm-3,1.8,R,ugm-3 (TEOM FDMS),1.42609,R,ugm-3,0.5,R,ugm-3 (TEOM FDMS),0.1,R,ugm-3 (TEOM FDMS)
56,56,03-01-2020,09:00,5.5,R,ugm-3 (TEOM FDMS),12.86651,R,ugm-3,43.22339,R,ugm-3,62.95175,R,ugm-3,3.9,R,ugm-3 (TEOM FDMS),4.1,R,ugm-3 (TEOM FDMS),26.74238,R,ugm-3,1.5,R,ugm-3 (TEOM FDMS),1.94467,R,ugm-3,1.6,R,ugm-3 (TEOM FDMS),0.6,R,ugm-3 (TEOM FDMS)
57,57,03-01-2020,10:00,5.1,R,ugm-3 (TEOM FDMS),39.57426,R,ugm-3,64.32984,R,ugm-3,125.00952,R,ugm-3,5.5,R,ugm-3 (TEOM FDMS),5.9,R,ugm-3 (TEOM FDMS),18.06109,R,ugm-3,1.7,R,ugm-3 (TEOM FDMS),2.78736,R,ugm-3,-0.4,R,ugm-3 (TEOM FDMS),-1.0,R,ugm-3 (TEOM FDMS)
58,58,03-01-2020,11:00,12.4,R,ugm-3 (TEOM FDMS),13.74377,R,ugm-3,34.65186,R,ugm-3,55.72534,R,ugm-3,7.8,R,ugm-3 (TEOM FDMS),6.0,R,ugm-3 (TEOM FDMS),35.57335,R,ugm-3,5.9,R,ugm-3 (TEOM FDMS),1.49091,R,ugm-3,4.6,R,ugm-3 (TEOM FDMS),3.1,R,ugm-3 (TEOM FDMS)
59,59,03-01-2020,12:00,12.2,R,ugm-3 (TEOM FDMS),11.30693,R,ugm-3,36.00432,R,ugm-3,53.34137,R,ugm-3,11.8,R,ugm-3 (TEOM FDMS),9.6,R,ugm-3 (TEOM FDMS),34.67529,R,ugm-3,7.2,R,ugm-3 (TEOM FDMS),1.49091,R,ugm-3,0.4,R,ugm-3 (TEOM FDMS),0.8,R,ugm-3 (TEOM FDMS)
60,60,03-01-2020,13:00,10.1,R,ugm-3 (TEOM FDMS),12.81777,R,ugm-3,38.45567,R,ugm-3,58.10931,R,ugm-3,10.5,R,ugm-3 (TEOM FDMS),7.3,R,ugm-3 (TEOM FDMS),33.87701,R,ugm-3,4.0,R,ugm-3 (TEOM FDMS),1.81502,R,ugm-3,-0.4,R,ugm-3 (TEOM FDMS),-0.1,R,ugm-3 (TEOM FDMS)
61,61,03-01-2020,14:00,8.8,R,ugm-3 (TEOM FDMS),11.30693,R,ugm-3,35.70632,R,ugm-3,53.04337,R,ugm-3,6.3,R,ugm-3 (TEOM FDMS),6.9,R,ugm-3 (TEOM FDMS),37.96819,R,ugm-3,5.2,R,ugm-3 (TEOM FDMS),1.55574,R,ugm-3,2.5,R,ugm-3 (TEOM FDMS),1.5,R,ugm-3 (TEOM FDMS)
62,62,03-01-2020,15:00,12.1,R,ugm-3 (TEOM FDMS),11.25819,R,ugm-3,39.35701,R,ugm-3,56.61933,R,ugm-3,10.6,R,ugm-3 (TEOM FDMS),7.5,R,ugm-3 (TEOM FDMS),33.02884,R,ugm-3,7.6,R,ugm-3 (TEOM FDMS),1.68538,R,ugm-3,1.5,R,ugm-3 (TEOM FDMS),3.3,R,ugm-3 (TEOM FDMS)
63,63,03-01-2020,16:00,14.4,R,ugm-3 (TEOM FDMS),9.99104,R,ugm-3,41.67245,R,ugm-3,56.99183,R,ugm-3,14.1,R,ugm-3 (TEOM FDMS),9.1,R,ugm-3 (TEOM FDMS),31.03314,R,ugm-3,6.4,R,ugm-3 (TEOM FDMS),1.29645,R,ugm-3,0.3,R,ugm-3 (TEOM FDMS),0.5,R,ugm-3 (TEOM FDMS)
