,Unnamed: 0,Date,time,Carbon monoxide,status,unit,PM<sub>10</sub> particulate matter (Hourly measured),status.1,unit.1,Nitric oxide,status.2,unit.2,Nitrogen dioxide,status.3,unit.3,Nitrogen oxides as nitrogen dioxide,status.4,unit.4,Ozone,status.5,unit.5,PM<sub>2.5</sub> particulate matter (Hourly measured),status.6,unit.6,Sulphur dioxide,status.7,unit.7,Black Carbon (880nm),status.8,unit.8,Blue Particulate matter (470nm),status.9,unit.9,Infra Red Particulate matter (950nm),status.10,unit.10,Red Particulate matter (660nm),status.11,unit.11,UV Particulate Matter (UV-BC),status.12,unit.12,UV Particulate Matter (370nm),status.13,unit.13,Yellow Particulate matter (590nm),status.14,unit.14
0,0,01-01-2020,01:00,0.213586,R,mgm-3,41.85,R,ugm-3 (FIDAS),12.08422,R,ugm-3,46.22164,R,ugm-3,64.75051,R,ugm-3,1.1309,R,ugm-3,35.189,R,ugm-3 (Ref.eq),,,,2.6,R,ugm-3,3.7,R,ugm-3,2.7,R,ugm-3,2.9,R,ugm-3,1.8,R,ugm-3,4.4,R,ugm-3,3.1,R,ugm-3
1,1,01-01-2020,02:00,0.236887,R,mgm-3,43.0,R,ugm-3 (FIDAS),18.95739,R,ugm-3,45.01138,R,ugm-3,74.07898,R,ugm-3,1.19742,R,ugm-3,36.25,R,ugm-3 (Ref.eq),,,,3.0,R,ugm-3,4.3,R,ugm-3,3.1,R,ugm-3,3.3,R,ugm-3,2.0,R,ugm-3,5.0,R,ugm-3,3.5,R,ugm-3
2,2,01-01-2020,03:00,0.203878,R,mgm-3,46.025,R,ugm-3 (FIDAS),12.43237,R,ugm-3,41.43513,R,ugm-3,60.49783,R,ugm-3,1.49678,R,ugm-3,39.623,R,ugm-3 (Ref.eq),,,,2.7,R,ugm-3,4.0,R,ugm-3,2.7,R,ugm-3,3.0,R,ugm-3,2.2,R,ugm-3,4.9,R,ugm-3,3.2,R,ugm-3
3,3,01-01-2020,04:00,0.203878,R,mgm-3,48.525,R,ugm-3 (FIDAS),8.92839,R,ugm-3,39.81147,R,ugm-3,53.50148,R,ugm-3,1.59656,R,ugm-3,41.179,R,ugm-3 (Ref.eq),,,,2.6,R,ugm-3,3.7,R,ugm-3,2.6,R,ugm-3,2.8,R,ugm-3,2.1,R,ugm-3,4.6,R,ugm-3,3.0,R,ugm-3
4,4,01-01-2020,05:00,0.168928,R,mgm-3,45.4,R,ugm-3 (FIDAS),2.62798,R,ugm-3,33.6273,R,ugm-3,37.65681,R,ugm-3,5.78753,R,ugm-3,40.118,R,ugm-3 (Ref.eq),,,,2.3,R,ugm-3,3.2,R,ugm-3,2.3,R,ugm-3,2.5,R,ugm-3,1.7,R,ugm-3,3.9,R,ugm-3,2.7,R,ugm-3
5,5,01-01-2020,06:00,0.160189,R,mgm-3,43.85,R,ugm-3 (FIDAS),4.2452,R,ugm-3,36.80641,R,ugm-3,43.31562,R,ugm-3,6.08689,R,ugm-3,39.387,R,ugm-3 (Ref.eq),,,,2.1,R,ugm-3,3.0,R,ugm-3,2.2,R,ugm-3,2.3,R,ugm-3,1.6,R,ugm-3,3.7,R,ugm-3,2.4,R,ugm-3
6,6,01-01-2020,07:00,0.157278,R,mgm-3,43.575,R,ugm-3 (FIDAS),5.76134,R,ugm-3,39.36885,R,ugm-3,48.20278,R,ugm-3,2.74409,R,ugm-3,39.293,R,ugm-3 (Ref.eq),,,,2.0,R,ugm-3,2.9,R,ugm-3,2.2,R,ugm-3,2.2,R,ugm-3,1.7,R,ugm-3,3.7,R,ugm-3,2.4,R,ugm-3
7,7,01-01-2020,08:00,0.177665,R,mgm-3,42.075,R,ugm-3 (FIDAS),10.27608,R,ugm-3,44.7414,R,ugm-3,60.49783,R,ugm-3,1.19742,R,ugm-3,37.995,R,ugm-3 (Ref.eq),,,,1.9,R,ugm-3,2.9,R,ugm-3,2.1,R,ugm-3,2.1,R,ugm-3,1.7,R,ugm-3,3.6,R,ugm-3,2.3,R,ugm-3
8,8,01-01-2020,09:00,0.233003,R,mgm-3,41.775,R,ugm-3 (FIDAS),15.59942,R,ugm-3,47.89668,R,ugm-3,71.81545,R,ugm-3,2.24516,R,ugm-3,37.194,R,ugm-3 (Ref.eq),,,,2.3,R,ugm-3,3.2,R,ugm-3,2.4,R,ugm-3,2.5,R,ugm-3,1.8,R,ugm-3,4.1,R,ugm-3,2.7,R,ugm-3
9,9,01-01-2020,10:00,0.329117,R,mgm-3,37.625,R,ugm-3 (FIDAS),53.16606,R,ugm-3,46.93485,R,ugm-3,128.455,R,ugm-3,2.24516,R,ugm-3,33.821,R,ugm-3 (Ref.eq),,,,2.9,R,ugm-3,3.9,R,ugm-3,2.9,R,ugm-3,3.1,R,ugm-3,1.6,R,ugm-3,4.5,R,ugm-3,3.3,R,ugm-3
10,10,01-01-2020,11:00,0.361155,R,mgm-3,37.375,R,ugm-3 (FIDAS),64.08228,R,ugm-3,48.76806,R,ugm-3,147.02619,R,ugm-3,2.34495,R,ugm-3,33.255,R,ugm-3 (Ref.eq),,,,2.9,R,ugm-3,3.9,R,ugm-3,3.0,R,ugm-3,3.1,R,ugm-3,1.5,R,ugm-3,4.4,R,ugm-3,3.4,R,ugm-3
11,11,01-01-2020,12:00,0.35533,R,mgm-3,39.45,R,ugm-3 (FIDAS),56.23203,R,ugm-3,50.31042,R,ugm-3,136.53167,R,ugm-3,3.24301,R,ugm-3,35.142,R,ugm-3 (Ref.eq),,,,2.8,R,ugm-3,3.9,R,ugm-3,3.0,R,ugm-3,3.1,R,ugm-3,1.6,R,ugm-3,4.5,R,ugm-3,3.3,R,ugm-3
12,12,01-01-2020,13:00,0.19514,R,mgm-3,39.8,R,ugm-3 (FIDAS),9.66962,R,ugm-3,41.4529,R,ugm-3,56.27944,R,ugm-3,8.93076,R,ugm-3,35.354,R,ugm-3 (Ref.eq),,,,2.1,R,ugm-3,2.9,R,ugm-3,2.3,R,ugm-3,2.3,R,ugm-3,1.4,R,ugm-3,3.5,R,ugm-3,2.5,R,ugm-3
13,13,01-01-2020,14:00,0.180578,R,mgm-3,40.45,R,ugm-3 (FIDAS),5.5255,R,ugm-3,39.11314,R,ugm-3,47.58545,R,ugm-3,11.47528,R,ugm-3,36.014,R,ugm-3 (Ref.eq),,,,2.1,R,ugm-3,2.9,R,ugm-3,2.3,R,ugm-3,2.3,R,ugm-3,1.4,R,ugm-3,3.5,R,ugm-3,2.5,R,ugm-3
14,14,01-01-2020,15:00,0.168928,R,mgm-3,41.475,R,ugm-3 (FIDAS),3.60505,R,ugm-3,36.1932,R,ugm-3,41.72087,R,ugm-3,11.72474,R,ugm-3,36.651,R,ugm-3 (Ref.eq),,,,2.2,R,ugm-3,2.9,R,ugm-3,2.3,R,ugm-3,2.4,R,ugm-3,1.3,R,ugm-3,3.6,R,ugm-3,2.5,R,ugm-3
15,15,01-01-2020,16:00,0.142715,R,mgm-3,34.1,R,ugm-3 (FIDAS),3.13336,R,ugm-3,35.99046,R,ugm-3,40.79488,R,ugm-3,17.36259,R,ugm-3,29.811,R,ugm-3 (Ref.eq),,,,1.9,R,ugm-3,2.4,R,ugm-3,2.0,R,ugm-3,2.0,R,ugm-3,0.9,R,ugm-3,2.8,R,ugm-3,2.2,R,ugm-3
16,16,01-01-2020,17:00,0.107764,R,mgm-3,26.775,R,ugm-3 (FIDAS),1.78568,R,ugm-3,34.1986,R,ugm-3,36.9366,R,ugm-3,21.50367,R,ugm-3,23.797,R,ugm-3 (Ref.eq),,,,1.5,R,ugm-3,1.9,R,ugm-3,1.6,R,ugm-3,1.6,R,ugm-3,0.7,R,ugm-3,2.2,R,ugm-3,1.7,R,ugm-3
17,17,01-01-2020,18:00,0.101939,R,mgm-3,26.7,R,ugm-3 (FIDAS),0.97707,R,ugm-3,33.74081,R,ugm-3,35.23896,R,ugm-3,23.00044,R,ugm-3,23.679,R,ugm-3 (Ref.eq),,,,1.6,R,ugm-3,2.0,R,ugm-3,1.7,R,ugm-3,1.7,R,ugm-3,0.7,R,ugm-3,2.3,R,ugm-3,1.8,R,ugm-3
18,18,01-01-2020,19:00,0.148539,R,mgm-3,34.975,R,ugm-3 (FIDAS),2.18998,R,ugm-3,41.19235,R,ugm-3,44.55027,R,ugm-3,14.91786,R,ugm-3,30.071,R,ugm-3 (Ref.eq),,,,1.9,R,ugm-3,2.5,R,ugm-3,2.1,R,ugm-3,2.0,R,ugm-3,0.9,R,ugm-3,2.9,R,ugm-3,2.2,R,ugm-3
19,19,01-01-2020,20:00,0.145627,R,mgm-3,31.35,R,ugm-3 (FIDAS),2.32475,R,ugm-3,42.06602,R,ugm-3,45.63059,R,ugm-3,15.71614,R,ugm-3,27.618,R,ugm-3 (Ref.eq),,,,1.7,R,ugm-3,2.3,R,ugm-3,1.8,R,ugm-3,1.8,R,ugm-3,1.0,R,ugm-3,2.7,R,ugm-3,2.0,R,ugm-3
20,20,01-01-2020,21:00,0.093201,R,mgm-3,23.55,R,ugm-3 (FIDAS),1.41507,R,ugm-3,35.79574,R,ugm-3,37.96548,R,ugm-3,26.04389,R,ugm-3,20.778,R,ugm-3 (Ref.eq),,,,1.3,R,ugm-3,1.8,R,ugm-3,1.4,R,ugm-3,1.4,R,ugm-3,0.8,R,ugm-3,2.1,R,ugm-3,1.5,R,ugm-3
21,21,01-01-2020,22:00,0.122327,R,mgm-3,23.95,R,ugm-3 (FIDAS),1.24661,R,ugm-3,38.93489,R,ugm-3,40.84632,R,ugm-3,21.40388,R,ugm-3,21.344,R,ugm-3 (Ref.eq),,,,1.4,R,ugm-3,2.0,R,ugm-3,1.6,R,ugm-3,1.6,R,ugm-3,1.1,R,ugm-3,2.5,R,ugm-3,1.7,R,ugm-3
22,22,01-01-2020,23:00,0.093201,R,mgm-3,22.65,R,ugm-3 (FIDAS),1.21291,R,ugm-3,32.40175,R,ugm-3,34.26153,R,ugm-3,26.49292,R,ugm-3,20.0,R,ugm-3 (Ref.eq),,,,1.3,R,ugm-3,1.8,R,ugm-3,1.4,R,ugm-3,1.4,R,ugm-3,0.9,R,ugm-3,2.2,R,ugm-3,1.5,R,ugm-3
23,23,01-01-2020,24:00,0.093201,R,mgm-3,20.65,R,ugm-3 (FIDAS),0.97707,R,ugm-3,29.67675,R,ugm-3,31.1749,R,ugm-3,26.39313,R,ugm-3,18.609,R,ugm-3 (Ref.eq),,,,1.1,R,ugm-3,1.4,R,ugm-3,1.1,R,ugm-3,1.2,R,ugm-3,0.8,R,ugm-3,1.8,R,ugm-3,1.2,R,ugm-3
24,24,02-01-2020,01:00,0.209556,R,mgm-3,15.525,R,ugm-3 (FIDAS),0.6291,R,ugm-3,20.54016,R,ugm-3,21.50476,R,ugm-3,33.19514,R,ugm-3,14.387,R,ugm-3 (Ref.eq),,,,0.8,R,ugm-3,1.1,R,ugm-3,0.9,R,ugm-3,0.9,R,ugm-3,0.5,R,ugm-3,1.3,R,ugm-3,1.0,R,ugm-3
25,25,02-01-2020,02:00,0.190152,R,mgm-3,12.625,R,ugm-3 (FIDAS),0.53923,R,ugm-3,15.67844,R,ugm-3,16.50525,R,ugm-3,35.0578,R,ugm-3,11.745,R,ugm-3 (Ref.eq),,,,0.7,R,ugm-3,0.9,R,ugm-3,0.7,R,ugm-3,0.8,R,ugm-3,0.3,R,ugm-3,1.0,R,ugm-3,0.8,R,ugm-3
26,26,02-01-2020,03:00,0.209556,R,mgm-3,12.275,R,ugm-3 (FIDAS),0.43812,R,ugm-3,14.94314,R,ugm-3,15.61492,R,ugm-3,32.23056,R,ugm-3,11.344,R,ugm-3 (Ref.eq),,,,0.7,R,ugm-3,0.8,R,ugm-3,0.7,R,ugm-3,0.7,R,ugm-3,0.3,R,ugm-3,0.9,R,ugm-3,0.7,R,ugm-3
27,27,02-01-2020,04:00,0.203735,R,mgm-3,12.375,R,ugm-3 (FIDAS),0.57293,R,ugm-3,15.14736,R,ugm-3,16.02584,R,ugm-3,32.23056,R,ugm-3,11.297,R,ugm-3 (Ref.eq),,,,0.6,R,ugm-3,0.8,R,ugm-3,0.6,R,ugm-3,0.7,R,ugm-3,0.3,R,ugm-3,0.9,R,ugm-3,0.7,R,ugm-3
28,28,02-01-2020,05:00,0.189183,R,mgm-3,12.675,R,ugm-3 (FIDAS),0.53923,R,ugm-3,13.3499,R,ugm-3,14.17671,R,ugm-3,34.32604,R,ugm-3,11.509,R,ugm-3 (Ref.eq),,,,0.6,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.3,R,ugm-3,0.8,R,ugm-3,0.7,R,ugm-3
29,29,02-01-2020,06:00,0.192093,R,mgm-3,13.15,R,ugm-3 (FIDAS),0.60663,R,ugm-3,17.66393,R,ugm-3,18.59408,R,ugm-3,30.78367,R,ugm-3,11.769,R,ugm-3 (Ref.eq),,,,0.6,R,ugm-3,0.8,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.2,R,ugm-3,0.8,R,ugm-3,0.7,R,ugm-3
30,30,02-01-2020,07:00,0.197914,R,mgm-3,11.5,R,ugm-3 (FIDAS),1.38177,R,ugm-3,26.23473,R,ugm-3,28.35341,R,ugm-3,23.69894,R,ugm-3,10.377,R,ugm-3 (Ref.eq),,,,0.6,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.2,R,ugm-3,0.8,R,ugm-3,0.6,R,ugm-3
31,31,02-01-2020,08:00,0.197914,R,mgm-3,8.4,R,ugm-3 (FIDAS),2.0558,R,ugm-3,35.26874,R,ugm-3,38.42092,R,ugm-3,23.79872,R,ugm-3,7.288,R,ugm-3 (Ref.eq),,,,0.5,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.1,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3
32,32,02-01-2020,09:00,0.189183,R,mgm-3,7.3,R,ugm-3 (FIDAS),1.75249,R,ugm-3,29.15911,R,ugm-3,31.84622,R,ugm-3,31.73163,R,ugm-3,5.637,R,ugm-3 (Ref.eq),,,,0.6,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.1,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3
33,33,02-01-2020,10:00,0.200825,R,mgm-3,6.25,R,ugm-3 (FIDAS),2.42652,R,ugm-3,27.71469,R,ugm-3,31.4353,R,ugm-3,32.18066,R,ugm-3,4.552,R,ugm-3 (Ref.eq),,,,0.5,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3
34,34,02-01-2020,11:00,0.192093,R,mgm-3,4.95,R,ugm-3 (FIDAS),2.56133,R,ugm-3,23.34743,R,ugm-3,27.27475,R,ugm-3,38.86626,R,ugm-3,3.325,R,ugm-3 (Ref.eq),,,,0.5,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3
35,35,02-01-2020,12:00,0.165899,R,mgm-3,5.225,R,ugm-3 (FIDAS),2.22431,R,ugm-3,19.70363,R,ugm-3,23.11419,R,ugm-3,44.25465,R,ugm-3,3.113,R,ugm-3 (Ref.eq),,,,0.4,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3
36,36,02-01-2020,13:00,0.148436,R,mgm-3,6.075,R,ugm-3 (FIDAS),1.78619,R,ugm-3,18.11535,R,ugm-3,20.85414,R,ugm-3,47.14841,R,ugm-3,3.491,R,ugm-3 (Ref.eq),,,,0.5,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3
37,37,02-01-2020,14:00,0.148436,R,mgm-3,9.925,R,ugm-3 (FIDAS),1.17956,R,ugm-3,14.73086,R,ugm-3,16.53949,R,ugm-3,46.84906,R,ugm-3,5.142,R,ugm-3 (Ref.eq),,,,0.5,R,ugm-3,0.6,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.2,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3
38,38,02-01-2020,15:00,,,,10.65,R,ugm-3 (FIDAS),,,,,,,,,,,,,5.354,R,ugm-3 (Ref.eq),,,,0.5,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.2,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3
39,39,02-01-2020,16:00,0.097016,R,mgm-3,11.525,R,ugm-3 (FIDAS),0.67403,R,ugm-3,15.60871,R,ugm-3,16.64222,R,ugm-3,55.63014,R,ugm-3,5.472,R,ugm-3 (Ref.eq),1.38666,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3
40,40,02-01-2020,17:00,0.107689,R,mgm-3,10.05,R,ugm-3 (FIDAS),0.60663,R,ugm-3,16.37981,R,ugm-3,17.30996,R,ugm-3,57.2267,R,ugm-3,5.259,R,ugm-3 (Ref.eq),0.73411,R,ugm-3,0.5,R,ugm-3,0.7,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.2,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3
41,41,02-01-2020,18:00,0.130973,R,mgm-3,7.425,R,ugm-3 (FIDAS),0.50553,R,ugm-3,17.97305,R,ugm-3,18.74818,R,ugm-3,58.02498,R,ugm-3,4.41,R,ugm-3 (Ref.eq),0.73411,R,ugm-3,0.6,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.2,R,ugm-3,0.8,R,ugm-3,0.6,R,ugm-3
42,42,02-01-2020,19:00,0.145525,R,mgm-3,7.05,R,ugm-3 (FIDAS),0.40442,R,ugm-3,18.64173,R,ugm-3,19.26183,R,ugm-3,58.82326,R,ugm-3,4.08,R,ugm-3 (Ref.eq),0.57098,R,ugm-3,0.5,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.2,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3
43,43,02-01-2020,20:00,0.136794,R,mgm-3,7.1,R,ugm-3 (FIDAS),0.43812,R,ugm-3,15.19997,R,ugm-3,15.87175,R,ugm-3,62.36563,R,ugm-3,4.41,R,ugm-3 (Ref.eq),0.97882,R,ugm-3,0.4,R,ugm-3,0.6,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.2,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3
44,44,02-01-2020,21:00,0.130973,R,mgm-3,8.5,R,ugm-3 (FIDAS),0.33702,R,ugm-3,12.52993,R,ugm-3,13.04668,R,ugm-3,64.86025,R,ugm-3,5.165,R,ugm-3 (Ref.eq),0.73411,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.2,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3
45,45,02-01-2020,22:00,0.119331,R,mgm-3,8.0,R,ugm-3 (FIDAS),0.33702,R,ugm-3,9.24257,R,ugm-3,9.75933,R,ugm-3,67.50455,R,ugm-3,5.0,R,ugm-3 (Ref.eq),0.89725,R,ugm-3,0.3,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3
46,46,02-01-2020,23:00,0.122241,R,mgm-3,11.025,R,ugm-3 (FIDAS),0.30332,R,ugm-3,9.19152,R,ugm-3,9.6566,R,ugm-3,65.95789,R,ugm-3,6.297,R,ugm-3 (Ref.eq),0.89725,R,ugm-3,0.3,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3
47,47,02-01-2020,24:00,0.119331,R,mgm-3,10.975,R,ugm-3 (FIDAS),0.30332,R,ugm-3,7.03419,R,ugm-3,7.49927,R,ugm-3,67.35488,R,ugm-3,6.226,R,ugm-3 (Ref.eq),0.73411,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.2,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3
48,48,03-01-2020,01:00,0.116455,R,mgm-3,9.1,R,ugm-3 (FIDAS),0.22466,R,ugm-3,6.09873,R,ugm-3,6.4432,R,ugm-3,66.989,R,ugm-3,5.826,R,ugm-3 (Ref.eq),3.91473,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3
49,49,03-01-2020,02:00,0.116455,R,mgm-3,7.225,R,ugm-3 (FIDAS),0.26959,R,ugm-3,7.33218,R,ugm-3,7.74555,R,ugm-3,63.26369,R,ugm-3,4.811,R,ugm-3 (Ref.eq),4.40407,R,ugm-3,0.2,R,ugm-3,0.3,R,ugm-3,0.2,R,ugm-3,0.2,R,ugm-3,0.1,R,ugm-3,0.3,R,ugm-3,0.2,R,ugm-3
50,50,03-01-2020,03:00,0.113543,R,mgm-3,8.45,R,ugm-3 (FIDAS),0.2022,R,ugm-3,6.06463,R,ugm-3,6.37466,R,ugm-3,64.81036,R,ugm-3,5.259,R,ugm-3 (Ref.eq),4.48563,R,ugm-3,0.2,R,ugm-3,0.3,R,ugm-3,0.2,R,ugm-3,0.2,R,ugm-3,0.0,R,ugm-3,0.3,R,ugm-3,0.2,R,ugm-3
51,51,03-01-2020,04:00,0.113543,R,mgm-3,4.625,R,ugm-3 (FIDAS),0.2022,R,ugm-3,4.83082,R,ugm-3,5.14085,R,ugm-3,66.45681,R,ugm-3,3.09,R,ugm-3 (Ref.eq),4.81186,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.0,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3
52,52,03-01-2020,05:00,0.113543,R,mgm-3,2.175,R,ugm-3 (FIDAS),0.26959,R,ugm-3,6.98946,R,ugm-3,7.40283,R,ugm-3,69.89939,R,ugm-3,1.297,R,ugm-3 (Ref.eq),4.40407,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.0,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3
53,53,03-01-2020,06:00,0.110632,R,mgm-3,1.85,R,ugm-3 (FIDAS),0.23589,R,ugm-3,8.12071,R,ugm-3,8.4824,R,ugm-3,68.95144,R,ugm-3,0.967,R,ugm-3 (Ref.eq),4.64874,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3,0.0,R,ugm-3,0.1,R,ugm-3,0.1,R,ugm-3
54,54,03-01-2020,07:00,0.131011,R,mgm-3,1.525,R,ugm-3 (FIDAS),0.50549,R,ugm-3,14.49326,R,ugm-3,15.26833,R,ugm-3,59.27229,R,ugm-3,0.92,R,ugm-3 (Ref.eq),4.07785,R,ugm-3,0.2,R,ugm-3,0.2,R,ugm-3,0.2,R,ugm-3,0.2,R,ugm-3,0.0,R,ugm-3,0.2,R,ugm-3,0.2,R,ugm-3
55,55,03-01-2020,08:00,0.154302,R,mgm-3,2.35,R,ugm-3 (FIDAS),0.47179,R,ugm-3,20.14846,R,ugm-3,20.87186,R,ugm-3,52.33723,R,ugm-3,1.321,R,ugm-3 (Ref.eq),4.24096,R,ugm-3,0.3,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3
56,56,03-01-2020,09:00,0.157214,R,mgm-3,3.15,R,ugm-3 (FIDAS),0.94358,R,ugm-3,26.21099,R,ugm-3,27.65778,R,ugm-3,,,,1.934,R,ugm-3 (Ref.eq),3.75162,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3
57,57,03-01-2020,10:00,0.154302,R,mgm-3,3.9,R,ugm-3 (FIDAS),1.71865,R,ugm-3,22.70916,R,ugm-3,25.3444,R,ugm-3,,,,2.241,R,ugm-3 (Ref.eq),3.18072,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.0,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3
58,58,03-01-2020,11:00,0.110632,R,mgm-3,9.725,R,ugm-3 (FIDAS),1.71865,R,ugm-3,14.22676,R,ugm-3,16.86199,R,ugm-3,,,,5.66,R,ugm-3 (Ref.eq),2.77294,R,ugm-3,0.3,R,ugm-3,0.4,R,ugm-3,0.3,R,ugm-3,0.3,R,ugm-3,0.1,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3
59,59,03-01-2020,12:00,0.101898,R,mgm-3,11.0,R,ugm-3 (FIDAS),1.61756,R,ugm-3,14.89586,R,ugm-3,17.37608,R,ugm-3,,,,5.991,R,ugm-3 (Ref.eq),2.44671,R,ugm-3,0.3,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3
60,60,03-01-2020,13:00,0.098986,R,mgm-3,8.3,R,ugm-3 (FIDAS),1.51646,R,ugm-3,14.74242,R,ugm-3,17.06762,R,ugm-3,,,,4.434,R,ugm-3 (Ref.eq),2.36515,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3
61,61,03-01-2020,14:00,0.084429,R,mgm-3,8.175,R,ugm-3 (FIDAS),1.85345,R,ugm-3,14.22571,R,ugm-3,17.06762,R,ugm-3,,,,4.693,R,ugm-3 (Ref.eq),2.60982,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3,0.4,R,ugm-3,0.1,R,ugm-3,0.5,R,ugm-3,0.4,R,ugm-3
62,62,03-01-2020,15:00,0.075695,R,mgm-3,10.475,R,ugm-3 (FIDAS),1.71865,R,ugm-3,16.59155,R,ugm-3,19.22678,R,ugm-3,,,,5.708,R,ugm-3 (Ref.eq),1.71269,R,ugm-3,0.4,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.5,R,ugm-3,0.1,R,ugm-3,0.6,R,ugm-3,0.5,R,ugm-3
63,63,03-01-2020,16:00,0.093164,R,mgm-3,12.225,R,ugm-3 (FIDAS),2.32524,R,ugm-3,23.6812,R,ugm-3,27.24651,R,ugm-3,,,,6.368,R,ugm-3 (Ref.eq),1.54958,R,ugm-3,0.6,R,ugm-3,0.7,R,ugm-3,0.6,R,ugm-3,0.6,R,ugm-3,0.2,R,ugm-3,0.8,R,ugm-3,0.6,R,ugm-3
64,64,03-01-2020,17:00,0.113543,R,mgm-3,13.575,R,ugm-3 (FIDAS),1.58386,R,ugm-3,31.86093,R,ugm-3,34.28948,R,ugm-3,,,,7.476,R,ugm-3 (Ref.eq),1.71269,R,ugm-3,0.8,R,ugm-3,0.9,R,ugm-3,0.8,R,ugm-3,0.8,R,ugm-3,0.2,R,ugm-3,1.0,R,ugm-3,0.8,R,ugm-3
