,Date,time,PM<sub>10</sub> particulate matter (Hourly measured),status,unit,PM<sub>2.5</sub> particulate matter (Hourly measured),status.1,unit.1
0,01-01-2019,01:00,,,,,,
1,01-01-2019,02:00,15.775,R,ugm-3 (FIDAS),11.179,R,ugm-3 (Ref.eq)
2,01-01-2019,03:00,10.9,R,ugm-3 (FIDAS),7.123,R,ugm-3 (Ref.eq)
3,01-01-2019,04:00,10.05,R,ugm-3 (FIDAS),5.542,R,ugm-3 (Ref.eq)
4,01-01-2019,05:00,10.95,R,ugm-3 (FIDAS),5.66,R,ugm-3 (Ref.eq)
5,01-01-2019,06:00,10.85,R,ugm-3 (FIDAS),5.991,R,ugm-3 (Ref.eq)
6,01-01-2019,07:00,10.575,R,ugm-3 (FIDAS),6.274,R,ugm-3 (Ref.eq)
7,01-01-2019,08:00,10.0,R,ugm-3 (FIDAS),6.203,R,ugm-3 (Ref.eq)
8,01-01-2019,09:00,10.725,R,ugm-3 (FIDAS),6.274,R,ugm-3 (Ref.eq)
9,01-01-2019,10:00,9.675,R,ugm-3 (FIDAS),6.038,R,ugm-3 (Ref.eq)
10,01-01-2019,11:00,10.475,R,ugm-3 (FIDAS),6.509,R,ugm-3 (Ref.eq)
11,01-01-2019,12:00,9.275,R,ugm-3 (FIDAS),5.991,R,ugm-3 (Ref.eq)
12,01-01-2019,13:00,6.6,R,ugm-3 (FIDAS),4.764,R,ugm-3 (Ref.eq)
13,01-01-2019,14:00,7.2,R,ugm-3 (FIDAS),4.788,R,ugm-3 (Ref.eq)
14,01-01-2019,15:00,7.05,R,ugm-3 (FIDAS),4.741,R,ugm-3 (Ref.eq)
15,01-01-2019,16:00,7.175,R,ugm-3 (FIDAS),4.929,R,ugm-3 (Ref.eq)
16,01-01-2019,17:00,8.325,R,ugm-3 (FIDAS),6.179,R,ugm-3 (Ref.eq)
17,01-01-2019,18:00,15.275,R,ugm-3 (FIDAS),9.104,R,ugm-3 (Ref.eq)
18,01-01-2019,19:00,15.9,R,ugm-3 (FIDAS),8.821,R,ugm-3 (Ref.eq)
19,01-01-2019,20:00,13.15,R,ugm-3 (FIDAS),7.736,R,ugm-3 (Ref.eq)
20,01-01-2019,21:00,10.2,R,ugm-3 (FIDAS),5.943,R,ugm-3 (Ref.eq)
21,01-01-2019,22:00,10.35,R,ugm-3 (FIDAS),5.755,R,ugm-3 (Ref.eq)
22,01-01-2019,23:00,12.425,R,ugm-3 (FIDAS),6.085,R,ugm-3 (Ref.eq)
23,01-01-2019,24:00,13.925,R,ugm-3 (FIDAS),6.887,R,ugm-3 (Ref.eq)
24,02-01-2019,01:00,13.475,R,ugm-3 (FIDAS),6.816,R,ugm-3 (Ref.eq)
25,02-01-2019,02:00,14.2,R,ugm-3 (FIDAS),6.769,R,ugm-3 (Ref.eq)
26,02-01-2019,03:00,14.45,R,ugm-3 (FIDAS),6.84,R,ugm-3 (Ref.eq)
27,02-01-2019,04:00,14.3,R,ugm-3 (FIDAS),6.745,R,ugm-3 (Ref.eq)
28,02-01-2019,05:00,15.05,R,ugm-3 (FIDAS),6.981,R,ugm-3 (Ref.eq)
29,02-01-2019,06:00,14.65,R,ugm-3 (FIDAS),6.958,R,ugm-3 (Ref.eq)
30,02-01-2019,07:00,14.85,R,ugm-3 (FIDAS),7.17,R,ugm-3 (Ref.eq)
31,02-01-2019,08:00,14.075,R,ugm-3 (FIDAS),6.863,R,ugm-3 (Ref.eq)
32,02-01-2019,09:00,16.475,R,ugm-3 (FIDAS),7.665,R,ugm-3 (Ref.eq)
33,02-01-2019,10:00,16.15,R,ugm-3 (FIDAS),7.476,R,ugm-3 (Ref.eq)
34,02-01-2019,11:00,17.025,R,ugm-3 (FIDAS),8.066,R,ugm-3 (Ref.eq)
35,02-01-2019,12:00,15.85,R,ugm-3 (FIDAS),8.066,R,ugm-3 (Ref.eq)
36,02-01-2019,13:00,16.125,R,ugm-3 (FIDAS),8.585,R,ugm-3 (Ref.eq)
37,02-01-2019,14:00,13.2,R,ugm-3 (FIDAS),6.745,R,ugm-3 (Ref.eq)
38,02-01-2019,15:00,12.325,R,ugm-3 (FIDAS),6.486,R,ugm-3 (Ref.eq)
39,02-01-2019,16:00,11.925,R,ugm-3 (FIDAS),6.981,R,ugm-3 (Ref.eq)
40,02-01-2019,17:00,13.425,R,ugm-3 (FIDAS),7.5,R,ugm-3 (Ref.eq)
41,02-01-2019,18:00,14.525,R,ugm-3 (FIDAS),8.467,R,ugm-3 (Ref.eq)
42,02-01-2019,19:00,16.9,R,ugm-3 (FIDAS),9.835,R,ugm-3 (Ref.eq)
43,02-01-2019,20:00,15.975,R,ugm-3 (FIDAS),9.67,R,ugm-3 (Ref.eq)
